No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
11,11,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang paggamit ng textong hango sa disiplinang Araling Panlipunan sa pagtuturo ng Filipino para sa antas sekondari ay pagpapamalas ng dulong _____________ .,,,Content – Based Instruction (CBI),,Teaching Grammar Through Text Types (TGTT),,Cognitive Academic Language Proficiency (CALP),,Basic Interpersonal Communication SKILLS (BICS),,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
12,12,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Bilang guro ng wika, madalas pinapahayag ng Gng. Austria ang kanyang mga mag-aaral batay sa kanilang saloobin, persepsyon o pananaw. Sa tuwing makakarining siya ng ilang pagkakamali hingil sa wastong pagamit ng balarila, hindi niya agad agad na itinatama ang mga ito nag hayaan upang hinid mabalam ang pagkatuto ng wika ang isinasaad nito?",,,Cognitivist,,Innativist,,Behaviorist,,Humanist,,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
13,13,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Kapag tumungo ka sa isang lugar at natutuhan mo ang wikang gamitin doon nang hindi mo namamalayan ito ay dahil sa prosesong ___________.,,,akwisisyon ng wika,,adaptasyon ng wika,,pagkatuto ng wika,,language ego,,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
14,14,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Ang kaibigan mo a dumating galling Amerika upang pansamantalang manirahan sa iyong tahan. Bilang kaibigan, ipamamalas mo sa kanya ang iyong kinagisnang kultura kaalinsabay ng wikang iyong ginagamit. Ito ay malinaw na pagpapakita ng prosesong _____________ .",,,Enkulturasyon,,Akuluturasyon,,Kulturasyon,,Kulturarisasyon,,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
15,15,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Si Minda ay tubong Ilokos ngunit lumaki sa Japan. Pagkaraang ng ilang taon ay nagtungo ang pamilya niya sa Pilipinas upang dito manirahan at makapag-aral sa isang kilala at mahusay na unibersidad. Samakatuwid, ang wikang Ingles na natutuhan niya sa kanyang paaralan ay tinawag na ____________.",,,unang wika,,ikalawang wika,,iatlong wika,,ikaapat na wika,,,,B,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
16,16,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Kapag ang isang mag-aaral ay nag asam na makatuntong ng kolehiyo at pagkatapos ay magkakaroon ng isang matatag na trabahao na may mataas na sweldo dahil sa alam at ginagamit na wika, malinaw na pagpapamalas ito ng anyo ng motibasyon?",,,Instrumental,,Reinforcement,,Kondisyunal,,Integratibo,,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
17,17,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Pag-ugnayin ang estilo ng pagkatuto ng wika ng mga mag-aral sa angkop na istratehiya sa pagtuturo ng guro. Pagkatuto ng Wika Pagtuturo ng Guro,,question_image_page_03_q17 (/Users/lyndon/reviewnatin/output/pdf/images/bsed_filipino_sept2026/question_image_page_03_q17.png),1 : 1,,2 : 3,,3 : 4,,4 : 4,,,,D,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,Yes,,0.92,Needs Image Extraction,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key. Source item has a connected visual: Table of language learning styles and teaching strategies.
18,18,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ito ay yugtong wika na kung saan ang mag magaaral ay nakapagpahalaga na ng mga salita at parirala bagama’t may mga pagkakamali pa ring taglay dahil sa sariling pagkaunawa.,,,Pasumala,,Otomatik,,Kamalayang istruktural,,Unitary,,,,C,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
19,19,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Ang unang yugto ng pagkatuto ng wika na nabubuo sa malikhaing tunog na bunga ng vocalizing, cooing, guggling, at bubbling ng mga bata.",,,Unitary,,Ekspansyon at Demilitasyon,,Otomatik,,Pasumala,,,,D,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
20,20,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang mga sumusunod na pahayag ay mga panuntunan at pananaw ayon sa simulating otomatisiti sa pagtuturo ng wika. I. Natural o di namamalayang pagkatuto ng wikang sa pamamagitan ng makabuluhang paggamit nito II. Mabisa at mabilis na paglayo sa pagpukos sa anyo ng wika sa pamamagitan ng makabuluhang paggamit ng wika ang sentro nito III. Epiktibo at mabisang pagkontrol ng ilang aspekto ng wikang pagtungo sa walang Limitasyon pagproseso ng anyo ng wika. IV. Lubos na sinusuri ang maliliit na detalye ng anyo wika,,,"I, II at III",,"II, III at IV",,"I, IV at III",,"I, II, II at IV",,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
21,21,3,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Ayon sa simulang makabuluhang pagkatuto, higit na mahalaga ang pagmatagalang pagkatuto kaysa sa pagsasaulo lamang o rote learning. Alin sa mga sumusunod ang maituturing na negatibong bunga nito? 1. Labis na pagpaliwanang ng gramatika 2. labis na dril 3. Mga gawaing malayo sa pagtamo ng mga di tiya na layunin 4. Mga teknik na mekanikal na nakapokus ang interes ng mga mag-aaral sa mensahe at kahulugan ng wika kaysa kayarian nito.",,,Tambilang 1 at 2 lamang,,Tambilang 3 at 4 lamang,,"Tambilang 1,2, at 3",,"Tambilang 1,2,3 at 4",,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
22,22,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang simulating pampagtuturo na nakatuon sa pag-asam ng mga mag-aaral sa gantimpala ay nag sasaad na ang bawat tao ay nagaganyak na matuto sa pag asang may matatangap na gantimpala o pabuya maging materal man o di – material na anyo. Ibigay ang implikasyon pangklasrum na dulot nito? 1. Nararapat na ang guro ay maglaan g hayagang pagsuri at pampalakas ng loob. 2.Himukin ang mga mag-aaral na igalang ang kakayahan ng bawat isa sa pamamigitan ng pagbibigay suporta sa anumang Gawain. 3. Magbigay ng kaukulang pidbak hingil sa mga katuparan ng mga gawaing pangklase 4. Magpakita ng kasiglahan sa pagklase sa lahat ng pagkakataon,,,Tambilang 1 at 2 lamang,,Tambilang 3 a 4 lamang,,"Tambilang 1,2, at 3",,"Tambilang 1,2,3 at 4",,,,D,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
23,23,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Ito ay simulating kognitibo sa pagtuturo ng wika na nagsasaad na ang matagumpay na pagkatuto ay nakasalalay sa inilaang panahon, pagsisikap at atensyon sa wika sa pamamagitan ng pansariling estratehiya upang maunawaan at magsalita ang wikang pinag-aralan.",,,Otomatisiti,,Risk taking,,Strategic Investment,,Language ego,,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
24,24,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Basahin at suriin ang mga sumusunod na itinakdang layunin ng guro para sa isang aralin. Pagkatapos ay tukuyin ang bahaging nakasalunguhit na may nakabilog na tambilang. Ang mag-aral ay nakasusulat ng talatang anyong pagpahayag na. Binubuo ng hindi kukulangin sa limang pangungusap,,,Degri,,Kondisyon,,Awdyens,,Beheyvyur limang pa,,,,B,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
25,25,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Si Gng. Azurin, isang guro sa Filipino para sa ikalawang taon ng Mataas na Paaralan ay matamang tinuturuan ang iba’t ibang pangkat ng mag-aaral gamit ang mga gawaing ayon sa ayon sa istilo ng kanilang kaalaman at kasanayan sa wika bagama’t sinusunod niya ang itinadhana pare-parehong paksa o aralin. Samakatuwid ito ay magpapamalas ng _______________ .",,,metodolohiya,,dulog,,teknik,,kagamitang pampagtuturo,,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
26,26,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Itoay tumutukoy sa kakayahang bigyang interpretasyon ang isang serye ng mga napakinggang pangungusap upang makagawa ng isang makabuluhang kahulugan.,,,Linggwistik kompetens,,Sosyo-lingwistik kompetens,,Diskors kompetens,,Istratejik kompetens,,,,C,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
27,27,4,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Basahin at unawaing mabuti ang kalagayang pangwika na nagaganap sa klase at tukuyin ang pamaraang kaakibat nito sa pagtuturo ng wika. Sa silid 104, na kung saan ang mga mag aaral dito ay nagtataglay ng istilong authority oriented na pagkatuto at kadalasan ang lahat ng gawaing pangklase ay nakasalalay o nakasalig sa guro bilang tagapag-utos tagapagpaganap ng mag gawaing pampakatuto at kadalasan ang lahat ng gawaing pangklase ay nakasalalay o nakasalig guro bilang tagapag-utos o tagapagpaganap ng mga gawaing pamgpagkatuto.",,,Suggestopedia,,Silent Way,,Total Physical response,,Natural approach,,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
28,28,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Kpag ang guro ay gumagamt ng mga sitwasyong bata sa reyalidad o aktwal na buhay at karanasan ng mag mag-aaral biang lunsaran sa pagtuturo ng wika, isang maliwanang ito ng paggamit ng pammaraang ________________.",,,whole language education,,community language learning,,language ego,,natural approach,,,,D,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
29,29,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Kapag ang mga guro ay nag-uusap hinggil sa larangan ng pagtuturo at pagkatuto ng mga mag-aaral. Anong wika ang kanilang ginagamit sa usapan?,,,Idyolek,,Sosyolek,,Dayalek,,Lingua franca,,,,B,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
30,30,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang salitang atlanghap ay karaniwang gamitinna sa Filipino natumutkoy sa almusal tangahalian at hapunan. Anong katangian ng wikaang nagpapaloob sa naturang gamiting salita?,,,Ang wika’y kaugnay ng kulturang pinanggalingan,,Angwika ay natutauhan at napagaralan,,Natutuhan ang wika sa pamamagitan ng pagsasanay,,Bawat wika ay katangi-tangi,,,,D,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
31,31,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Mula sa isang tunog ang wika ay nabubuo upang maging isang pantig ng nunuo ng salita para sa isang parirala tungo sa makabuluhang pangungusap. Kaya naman ayon kay Gleason, ang wika ay _______________ .",,,isang masistemang balangkas,,arbitaryo,,hindi,,pantao,,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
32,32,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Itinuturing na ang wika ay arbitrary. Nanganghulugan na ito ay _______________.,,,napagkasunduan ngmga pangkat na gumagamit nito,,tanggap ng mga gumagamit nito,,isang masistemang balangkas ng sinasalitang tunog,,mula sa mekanismong bibig ng kabilang sa proseso ng pagsasalita,,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
33,33,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ibigay ang pahambing na pagkakatulad at pagkakaiba ng ponema at morpema.,,,"kapwa sila pinakamaliit nay unit ng tunog, yaon lamang ang morpema ay nagtataglay ng kahulugan at ang ponema ay hindi.",,"Kapwa sila mga anyo ng balarila, yaon lamang ang ponema ay pantig.",,"Kapwa sila mga tunog, yaon lamang ang ponema ay letra at ang moperma ay pantig.",,"Kapwa sila bahagi ng balangkas ng tunog, yaon lamang ang ponema ay sintaks samantala ang morpema ay semantics",,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
34,34,5,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Isang paraan ng pagpahayag ng wika ay ang pagpalit ng ilang tunog o ponema sa salitang upang makabuo ng panibagong salitaat kahulugan. Ito ay ang mga ponemang segmental sa _______________.,,,digrap,,pares minimal,,diptongo,,ponemang Malaya nagpapalitan,,,,B,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
35,35,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ibigay angpahiwatig ng sumusunod na pahayagg sa tuong ng hinto o antala hindi/ ako ang kumuha.,,,Itinanggi,,Inaako,,May itinuturing iba,,Nagkakaila,,,,B,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
36,36,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang pagsisinungaling ay isang gawaing masama. Ang nakasalunguhit na salita ay nangangailangan ng tuldik na ____________ .,,,wala,,paiwa,,pahilis,,pakupya,,,,D,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
37,37,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,“He has bone fracture” siya ay may ____________ .,,,bali,,balì,,balí,,Balî,,,,A,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
38,38,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang proseso ng pagsasalita ay nagmula sa mga mekanismo na siyang nagkokoordineyt upang makalikha ng isang makabuluhang tunog nasiyang bumubuo ng wika. Ang wika naturang pahayag ay tumutukoy sa anong daynesyong pangwika?,,,Historikal,,Sosyolohikal,,Polisopikal,,Pisyolohikal,,,,D,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
39,39,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Alin sa mga sumusunod ang may tamang pormasyon ng pantig?,,,tran-sak-syon,,tran-saks-yon,,trans-ak-syon,,trans-aks-yon,,,,C,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
40,40,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ilang panlapi mayroon ang salitang MAGDINUGUAN?,,,1,,2,,3,,4,,,,C,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
41,41,6,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Nilalayon ng pagturo ng Filipino para sa batayan edukasyon ang pagkakuto ng tiyak na istrakturang grammatika ng wika kaaknsabay ng maunwang pagbasa.Ano ang tawag s tunguhin nito?,,,Dulog interdisciplinary,,Dulog Grammar Through text ang type (TGTT),,Dulog Multiple Intelligence,,Dulog Pinogrammang Pagututuro,,,,B,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
