No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
11,11,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,Proper maintenance of hand tools ensures:,,,Faster wear,,Longer service life,,Frequent replacement,,Higher tool cost,,,,B,Result of maintenance.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
12,12,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The most common cause of workshop injuries is:,,,Carelessness and fatigue,,Poor lighting,,Lack of materials,,Expensive tools,,,,A,Major cause of accidents.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
13,13,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The tool rack should be placed:,,,Near the entrance,,Close to the workbench,,Inside a storage room,,In another room,,,,B,Easy access.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
14,14,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The purpose of the workshop inventory record is to:,,,List tool losses,,Track and manage tools and materials,,Decorate the classroom,,Limit usage,,,,B,Inventory purpose.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
15,15,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The symbol of fire exit should be colored:,,,Red,,Green,,Yellow,,Blue,,,,B,Safety and exit symbol color.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
16,16,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The main purpose of safety signage is to:,,,Decorate the room,,Warn and inform workers,,Identify machines,,Replace verbal instructions,,,,B,Function of safety signage.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
17,17,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A broken hammer handle should be:,,,Repaired with tape,,Replaced immediately,,Used carefully,,Left for next user,,,,B,Prevent accidents.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
18,18,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,Regular equipment inspection should be conducted:,,,Once a year,,Before and after use,,Only when broken,,Every 5 years,,,,B,Inspection frequency.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
19,19,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The fire triangle includes:,,,"Heat, fuel, and oxygen",,"Water, air, and metal",,"Smoke, dust, and gas",,"Fire, wind, and soil",,,,A,Fire triangle elements.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
20,20,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The type of hazard caused by cluttered floors is:,,,Chemical hazard,,Physical hazard,,Electrical hazard,,Ergonomic hazard,,,,B,Caused by cluttered floors.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
21,21,2,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The proper way to lift heavy objects is to:,,,Use back muscles,,Bend the knees and keep back straight,,Pull while twisting,,Use arms only,,,,B,Proper lifting technique.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
22,22,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A personal protective equipment (PPE) for welding includes:,,,Rubber gloves,,Welding helmet and leather apron,,Cotton gloves,,Plastic eyeglasses,,,,B,PPE for welding.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
23,23,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The main goal of workshop supervision is to:,,,Ensure discipline and safety,,Increase competition,,Limit student tasks,,Restrict creativity,,,,A,Goal of supervision.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
24,24,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In a workshop layout, the teacher’s table should be:",,,Near the entrance with full view,,In a hidden corner,,At the storage room,,Next to machine tools,,,,A,Best teacher position.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
25,25,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,Tool maintenance logbooks should contain:,,,Machine color,,"Date, repair, and remarks",,Student names,,Tool price,,,,B,Tool logbook contents.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
26,26,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The process of shaping wood using a lathe is called:,,,Planing,,Turning,,Drilling,,Filing,,,,B,Wood shaping using lathe.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
27,27,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The metal joining process that uses filler metal below 450°C is:,,,Welding,,Brazing,,Soldering,,Riveting,,,,C,Below 450°C metal joining.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
28,28,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The purpose of annealing in metals is to:,,,Harden the metal,,Soften and improve ductility,,Increase brittleness,,Remove coating,,,,B,Effect of annealing.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
29,29,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best material for making cutting tools is:,,,High carbon steel,,Aluminum,,Lead,,Plastic,,,,A,Best for cutting tools.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
30,30,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The process of finishing wood using sandpaper is:,,,Polishing,,Sanding,,Scraping,,Painting,,,,B,Smoothens surface.,LET Secondary,Technology and Livelihood Education,Woodworking,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
31,31,3,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The main purpose of varnish is to:,,,Add color only,,Protect and beautify wood,,Act as adhesive,,Replace paint,,,,B,Purpose of varnish.,LET Secondary,Technology and Livelihood Education,Woodworking,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
32,32,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A power tool used for shaping wood edges is:,,,Router,,Drill,,Grinder,,Sander,,,,A,Shapes wood edges.,LET Secondary,Technology and Livelihood Education,Woodworking,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
33,33,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In metalwork, tapping is the process of:",,,Making internal threads,,Creating holes,,Joining sheets,,Cutting bolts,,,,A,Tapping function.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
34,34,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best technique in teaching Industrial Arts is:,,,Lecture only,,Demonstration and hands-on,,Reading assignment,,Oral test,,,,B,Effective IA teaching.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
35,35,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In project-based learning, students:",,,Observe only,,Apply concepts through actual output,,Take theoretical exams,,Watch videos,,,,B,Project-based learning.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
36,36,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The correct sequence in project making is:,,,Design → Plan → Fabricate → Evaluate,,Fabricate → Design → Plan,,Evaluate → Plan → Design,,Plan → Design → Fabricate,,,,A,Correct order.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
37,37,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In a woodworking project, the first step after designing is:",,,Cutting materials,,Preparing the bill of materials,,Finishing,,Painting,,,,B,Step after design.,LET Secondary,Technology and Livelihood Education,Woodworking,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
38,38,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The teaching strategy that integrates sustainability concepts in TLE is:,,,Green technology approach,,Industrial method,,Lecture method,,Discussion,,,,A,Promotes sustainability.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
39,39,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In quality control, tolerance refers to:",,,Error limit acceptable in production,,Product size,,Design thickness,,Worker fatigue,,,,A,Meaning of tolerance.,LET Secondary,Technology and Livelihood Education,Production Technology,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
40,40,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best tool for measuring right angles in woodwork is:,,,Protractor,,Try square,,Caliper,,Ruler,,,,B,For right angles.,LET Secondary,Technology and Livelihood Education,Woodworking,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
41,41,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The term “ergonomics” refers to:,,,Comfort and efficiency in design,,Color arrangement,,Sound control,,Ventilation,,,,A,Definition of ergonomics.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
42,42,4,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In metalwork, flux is used to:",,,Prevent oxidation during soldering,,Strengthen joints,,Increase heat,,Polish the surface,,,,A,Function of flux.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
43,43,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The method used to produce mass items in identical form is:,,,Batch production,,Continuous production,,Job production,,Craft production,,,,A,Mass identical production.,LET Secondary,Technology and Livelihood Education,Production Technology,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
44,44,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The function of a template in project fabrication is to:,,,Act as a pattern or guide,,Replace measurement,,Decorate the output,,Cut metals,,,,A,Role of template.,LET Secondary,Technology and Livelihood Education,Production Technology,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
45,45,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best way to teach measurement and precision is through:,,,Performance-based learning,,Recitation,,Lecture,,Oral quiz,,,,A,Promotes skill mastery.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
46,46,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A project plan includes:,,,"Working drawing, materials list, procedure, cost estimate",,Only design,,Only materials,,None of these,,,,A,Full project plan.,LET Secondary,Technology and Livelihood Education,Production Technology,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
47,47,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In finishing metal projects, buffing means:",,,Polishing the surface to a shine,,Painting the surface,,Cutting edges,,Hardening metal,,,,A,Buffing definition.,LET Secondary,Technology and Livelihood Education,Metalwork and Welding,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
48,48,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best way to assess TLE practical skills is:,,,Observation checklist,,Multiple-choice test,,Oral quiz,,Seatwork,,,,A,Measures performance.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
49,49,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The ideal teaching principle in Industrial Arts is:,,,Learning by doing,,Reading by theory,,Listening to lecture,,Memorizing,,,,A,Core principle of IA.,LET Secondary,Technology and Livelihood Education,TLE Teaching and Assessment,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
50,50,5,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The ultimate goal of Industrial Arts instruction is to:,,,"Develop technical, creative, and ethical work skills",,Master only machine operation,,Pass the board exam,,Work abroad LET Reviewer TLEd –Industrial Arts,,,,A,Ultimate IA goal.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
51,1,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,The three main factors affecting electrical resistance are:,,,"Current, voltage, and power",,"Material, length, and cross-sectional area",,"Frequency, temperature, and load",,"Capacity, current, and potential",,,,B,Factors affecting resistance.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
52,2,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,The unit of electrical energy consumption is:,,,Watt,,Volt,,Kilowatt-hour,,Ampere,,,,C,Unit for electrical energy use.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
53,3,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,The tool used to remove insulation from a wire is called:,,,Long nose pliers,,Wire stripper,,Screwdriver,,Hacksaw,,,,B,Removes insulation safely.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
54,4,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,The function of an ammeter is to:,,,Measure voltage,,Measure resistance,,Measure current,,Control circuit flow,,,,C,Function of ammeter.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
55,5,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,What is the color code for grounding wire in the Philippines?,,,Black,,Red,,Green,,White,,,,C,Color code for ground wire.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
56,6,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,Which of the following is a conductor?,,,Glass,,Copper,,Rubber,,Plastic,,,,B,Best electrical conductor.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
57,7,1,BSED TLEd-IA P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P10.pdf,"In carpentry, what is the best adhesive for wood joints?",,,Epoxy,,White glue,,Contact cement,,Hot melt glue,,,,B,Strong and suitable for wood.,LET Secondary,Technology and Livelihood Education,Automotive Technology,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
