No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
16,16,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The Philippine folk song “Pamulinawen” originated from:,,,Ilocos Region,,Visayas,,Mindanao,,Bicol,,,,A,Answer key: Ilocos Region,LET Secondary,Culture and Arts Education,Performing Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
17,17,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Form” in visual arts refers to:,,,Three-dimensional quality of an object,,Color tone,,Line pattern,,Light direction,,,,A,Answer key: Three-dimensional quality of an object,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
18,18,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Kalesa” is an example of:,,,Functional art,,Sculpture,,Painting,,Textile,,,,A,Answer key: Functional art,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
19,19,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of rhythm” in art creates:,,,Movement and flow through repetition,,Static balance,,Equal division,,Sharp contrast,,,,A,Answer key: Movement and flow through repetition,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
20,20,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,A teacher who uses art projects to connect lessons to community life applies:,,,Contextualized learning,,Technical learning,,Drill method,,Classical approach,,,,A,Answer key: Contextualized learning,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
21,21,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Abstract art” emphasizes:,,,"Forms, colors, and emotions rather than realism",,Exact duplication of life,,Linear perspective,,Historical documentation,,,,A,"Answer key: Forms, colors, and emotions rather than realism",LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
22,22,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Hudhud” epic chant comes from the:,,,Ifugao,,Tagalog,,Tausug,,Aeta,,,,A,Answer key: Ifugao,LET Secondary,Culture and Arts Education,Indigenous and Regional Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
23,23,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The artist known for “The Builders” painting is:,,,Victorio Edades,,Fernando Amorsolo,,Juan Luna,,Vicente Manansala,,,,A,Answer key: Victorio Edades,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
24,24,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Texture” in sculpture refers to:,,,The feel of the surface,,The size of material,,The design outline,,The color scheme,,,,A,Answer key: The feel of the surface,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
25,25,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The process of protecting cultural properties is called:,,,Conservation,,Transformation,,Translation,,Recreation,,,,A,Answer key: Conservation,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
26,26,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of contrast” enhances:,,,Visual interest using opposites,,Repetition,,Harmony only,,Uniform color,,,,A,Answer key: Visual interest using opposites,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
27,27,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Okir” motif from Maranao culture often features:,,,Flowing curves and floral patterns,,Sharp triangles,,Monochrome color,,Abstract squares,,,,A,Answer key: Flowing curves and floral patterns,LET Secondary,Culture and Arts Education,Indigenous and Regional Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
28,28,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Sublian Festival” is celebrated in:,,,Batangas,,Bacolod,,Iloilo,,Davao,,,,A,Answer key: Batangas,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
29,29,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The art movement that emphasizes emotion and imagination is:,,,Expressionism,,Realism,,Classicism,,Minimalism,,,,A,Answer key: Expressionism,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
30,30,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Bayanihan” dance depicts:,,,Filipino unity and cooperation,,Romantic courtship,,Harvest celebration,,Religious ritual,,,,A,Answer key: Filipino unity and cooperation,LET Secondary,Culture and Arts Education,Performing Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
31,31,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,A visual artist who pioneered abstract expressionism in the Philippines is:,,,Jose Joya,,Botong Francisco,,Guillermo Tolentino,,Victorio Edades,,,,A,Answer key: Jose Joya,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
32,32,3,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of balance” ensures:,,,Equal or symmetrical arrangement of elements,,Uneven design,,Random placement,,Dominant lines,,,,A,Answer key: Equal or symmetrical arrangement of elements,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
33,33,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Darangen” is the epic of:,,,Maranao,,Ifugao,,Ilocano,,Bicolano,,,,A,Answer key: Maranao,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
34,34,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Kundiman” is a traditional song about:,,,Love and patriotism,,War and freedom,,Farming,,Religion,,,,A,Answer key: Love and patriotism,LET Secondary,Culture and Arts Education,Performing Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
35,35,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,"The art element that shows space, distance, and size relationships is:",,,Perspective,,Hue,,Texture,,Line,,,,A,Answer key: Perspective,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
36,36,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The art form that uses sound and rhythm as medium is:,,,Music,,Sculpture,,Painting,,Architecture,,,,A,Answer key: Music,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
37,37,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,A teacher who integrates arts into math and science lessons practices:,,,STEAM education,,Classical learning,,Separate discipline teaching,,Traditional curriculum,,,,A,Answer key: STEAM education,LET Secondary,Culture and Arts Education,Arts Education Pedagogy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
38,38,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of proportion” deals with:,,,Relationship of sizes among elements,,Color blending,,Balance of tones,,Emphasis,,,,A,Answer key: Relationship of sizes among elements,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
39,39,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Baguio Arts Guild” promotes:,,,Contemporary Cordillera arts,,Modern dance,,Western art,,Music composition,,,,A,Answer key: Contemporary Cordillera arts,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
40,40,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Imitational art” focuses on:,,,Realistic representation of subjects,,Geometric design,,Abstract ideas,,Color harmony,,,,A,Answer key: Realistic representation of subjects,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
41,41,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of variety” prevents:,,,Monotony in artwork,,Balance,,Texture,,Unity,,,,A,Answer key: Monotony in artwork,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
42,42,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of unity” is important because it:,,,Combines all elements harmoniously,,Adds distortion,,Creates contrast only,,Separates objects,,,,A,Answer key: Combines all elements harmoniously,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
43,43,4,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The famous sculptor of “The Oblation” is:,,,Guillermo Tolentino,,Napoleon Abueva,,Eduardo Castrillo,,Jose Joya,,,,A,Answer key: Guillermo Tolentino,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
44,44,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The art element that refers to the feel or surface quality is:,,,Texture,,Value,,Color,,Shape,,,,A,Answer key: Texture,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
45,45,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Indigenous art forms” are characterized by:,,,"Traditional, community-based expressions",,Imported materials,,Western influence,,Industrial process,,,,A,"Answer key: Traditional, community-based expressions",LET Secondary,Culture and Arts Education,Indigenous and Regional Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
46,46,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Cubism” uses:,,,Geometric shapes to depict multiple viewpoints,,Emotional colors,,Soft curves,,Abstract lines,,,,A,Answer key: Geometric shapes to depict multiple viewpoints,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
47,47,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of emphasis” in dance means:,,,Highlighting main movement or gesture,,Repetition of steps,,Synchronization,,Acceleration,,,,A,Answer key: Highlighting main movement or gesture,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
48,48,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Moriones Festival” is a cultural event featuring:,,,Biblical reenactments with masks,,Folk dance,,Flower parade,,Music contests,,,,A,Answer key: Biblical reenactments with masks,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
49,49,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Cultural mapping” identifies:,,,Tangible and intangible heritage resources,,Street locations,,Population data,,Modern designs,,,,A,Answer key: Tangible and intangible heritage resources,LET Secondary,Culture and Arts Education,Cultural Heritage and Preservation,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
50,50,5,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The artist known for mural “Freedom Barong” is:,,,Benedicto Cabrera (BenCab),,Jose Joya,,Botong Francisco,,Ang Kiukok 2026,,,,A,Answer key: Benedicto Cabrera (BenCab),LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
51,1,1,BSED CAEd P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P10.pdf,Art appreciation primarily involves:,,,Understanding and valuing artistic expression,,Memorizing art facts,,Replicating artworks,,Judging art competitions,,,,A,Answer key: Understanding and valuing artistic expression,LET Secondary,Culture and Arts Education,Art Appreciation and Criticism,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
52,2,1,BSED CAEd P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P10.pdf,The “Sinulog Festival” is celebrated in honor of:,,,Sto. Niño,,St. Michael,,Our Lady of Peñafrancia,,San Isidro Labrador,,,,A,Answer key: Sto. Niño,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
53,3,1,BSED CAEd P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P10.pdf,The “Ati-Atihan Festival” originated in:,,,"Kalibo, Aklan",,Baguio City,,Cebu,,Davao,,,,A,"Answer key: Kalibo, Aklan",LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
54,4,1,BSED CAEd P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P10.pdf,The “Pahiyas Festival” showcases:,,,Colorful rice decorations honoring San Isidro Labrador,,Devotion to Sto. Niño,,Harvest of sugarcane,,Street dancing for tourism,,,,A,Answer key: Colorful rice decorations honoring San Isidro Labrador,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
55,5,1,BSED CAEd P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P10.pdf,“Kadayawan Festival” in Davao celebrates:,,,Abundance of nature and indigenous heritage,,Religious feast,,Spanish colonization,,Modern culture,,,,A,Answer key: Abundance of nature and indigenous heritage,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
