No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
11,11,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A drawing instrument used to transfer measurements is the:,,,Compass,,Divider,,Scale,,Protractor,,,,B,Divider. Transfers measurements.,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
12,12,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The primary function of a fuse is to:,,,Prevent overheating,,Convert current,,Store electricity,,Regulate voltage,,,,A,Prevent overheating. Fuse breaks circuit.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
13,13,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The color coding for a live wire in the Philippines is:,,,Green,,Red,,Yellow,,Blue,,,,B,Red. Live wire color in PH.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
14,14,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,"In mechanical drafting, the top view of an object is also known as:",,,Elevation,,Plan,,Section,,Profile,,,,B,Plan. Top view name.,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
15,15,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The power in a circuit with 10 V and 2 A is:,,,5 W,,20 W,,12 W,,25 W,,,,B,20 W. P = V × I.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
16,16,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The common measuring tool used by carpenters for length is:,,,Micrometer,,Vernier caliper,,Steel tape,,T-square,,,,C,Steel tape. For measuring long lengths.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
17,17,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,"In automotive maintenance, engine oil should be checked:",,,Monthly,,Weekly,,Daily,,Quarterly,,,,C,Daily. Engine oil check routine.,LET Secondary,Technology and Livelihood Education,Automotive and Mechanical Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
18,18,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A welding method that uses an electric arc is:,,,Gas welding,,Arc welding,,Soldering,,Brazing,,,,B,Arc welding. Uses electric arc.,LET Secondary,Technology and Livelihood Education,Welding and Metalwork,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
19,19,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A tool used to cut internal threads:,,,Tap,,Die,,File,,Drill bit,,,,A,Tap. Cuts internal threads.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
20,20,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The most appropriate extinguisher for electrical fires:,,,Water,,CO₂,,Sand,,Foam,,,,B,CO₂. For electrical fires.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
21,21,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The unit of mechanical advantage has:,,,No unit,,Unit of force,,Unit of work,,Unit of power,,,,A,No unit. Ratio only.,LET Secondary,Technology and Livelihood Education,Automotive and Mechanical Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
22,22,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The best practice before connecting circuits is to:,,,Check voltage,,Switch on power,,Inspect tools,,Verify wiring connections,,,,D,Verify wiring connections. Safety measure.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
23,23,2,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The drafting instrument used to measure angles accurately is the:,,,Compass,,Protractor,,Triangle,,French curve,,,,B,Protractor. For measuring angles.,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
24,24,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The purpose of a transformer is to:,,,Increase or decrease voltage,,Store electrical energy,,Conduct electricity,,Measure resistance,,,,A,Increase or decrease voltage. Transformer use.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
25,25,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The process of cleaning and maintaining tools after use is called:,,,Servicing,,Tool care,,Tool maintenance,,Tool preservation,,,,C,Tool maintenance. Cleaning and upkeep.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
26,26,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The main nutrient in fish that builds body tissues is:,,,Fat,,Carbohydrates,,Protein,,Minerals,,,,C,Protein. Builds tissues.,LET Secondary,Technology and Livelihood Education,Agriculture and Fishery,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
27,27,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The process of blanching vegetables before freezing helps to:,,,Cook the food completely,,Retain flavor and color,,Remove nutrients,,Add texture,,,,B,Retain flavor and color. Purpose of blanching.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
28,28,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The part of a sewing machine that holds the spool of thread:,,,Bobbin,,Spool pin,,Feed dog,,Presser foot,,,,B,Spool pin. Holds thread spool.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
29,29,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The correct method of measuring flour is to:,,,Scoop directly,,Spoon and level,,Shake the cup,,Compress it,,,,B,Spoon and level. Correct measurement.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
30,30,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The common term for food safety hazards caused by bacteria is:,,,Contamination,,Infection,,Spoilage,,Preservation,,,,A,Contamination. Bacteria hazard.,LET Secondary,Technology and Livelihood Education,Safety and Work Values,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
31,31,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,Which software is best for numeric data processing?,,,PowerPoint,,Excel,,Word,,Paint,,,,B,Excel. Spreadsheet program.,LET Secondary,Technology and Livelihood Education,ICT and Digital Literacy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
32,32,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The main ingredient in vinegar preservation is:,,,Sugar,,Acid,,Salt,,Oil,,,,B,Acid. Main preservation agent.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
33,33,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The first step in a successful business plan is:,,,Marketing strategy,,Feasibility study,,Product costing,,Launching the product,,,,B,Feasibility study. First step in business plan.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
34,34,3,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The tool used to check temperature while cooking meat:,,,Thermometer,,Timer,,Barometer,,Hydrometer,,,,A,Thermometer. Measures temperature.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
35,35,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,"In basic ICT, a “byte” is composed of:",,,4 bits,,8 bits,,12 bits,,16 bits,,,,B,8 bits. One byte = 8 bits.,LET Secondary,Technology and Livelihood Education,ICT and Digital Literacy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
36,36,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The government agency that certifies skilled workers in the Philippines is:,,,DepEd,,TESDA,,CHED,,DOLE,,,,B,TESDA. Certifies skills.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
37,37,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The process of reproducing a design on fabric using needle and thread:,,,Embroidery,,Quilting,,Weaving,,Stitching,,,,A,Embroidery. Decorative stitching.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
38,38,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,An example of fixed capital in a business is:,,,Furniture and equipment,,Cash,,Raw materials,,Finished products,,,,A,Furniture and equipment. Fixed assets.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
39,39,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The main purpose of a balance sheet is to show:,,,Business profits,,"Assets, liabilities, and equity",,Sales performance,,Customer satisfaction,,,,B,"Assets, liabilities, and equity. Balance sheet info.",LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
40,40,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The correct sequence in meal planning is:,,,Prepare → Plan → Buy,,Plan → Buy → Cook,,Buy → Cook → Serve,,Cook → Serve → Plan,,,,B,Plan → Buy → Cook. Correct sequence.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
41,41,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The process of fermenting milk with bacteria produces:,,,Cheese,,Cream,,Yogurt,,Butter,,,,C,Yogurt. Fermented milk product.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
42,42,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The key factor in successful entrepreneurship is:,,,Risk avoidance,,Innovation,,Dependence,,Rigidity,,,,B,Innovation. Key to entrepreneurship.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
43,43,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A basic safety rule in the kitchen is to:,,,Wear slippers,,Keep knives sharp,,Use wet rags,,Store flammables near stove,,,,B,Keep knives sharp. Prevents slipping accidents.,LET Secondary,Technology and Livelihood Education,Safety and Work Values,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
44,44,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The acronym ICT stands for:,,,Information and Computer Technology,,Information and Communication Technology,,Interactive Communication Technique,,Integrated Communication Tool,,,,B,Information and Communication Technology. ICT meaning.,LET Secondary,Technology and Livelihood Education,ICT and Digital Literacy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
45,45,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The software used for creating graphics and posters:,,,Word,,Paint,,Excel,,PowerPoint,,,,B,Paint. Used for graphics.,LET Secondary,Technology and Livelihood Education,ICT and Digital Literacy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
46,46,4,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A business that aims to solve a social problem is called:,,,Sole proprietorship,,Cooperative,,Social enterprise,,Corporation,,,,C,Social enterprise. Business with a mission.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
47,47,5,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The type of farming that raises fish and aquatic plants is:,,,Apiculture,,Horticulture,,Aquaculture,,Hydroponics,,,,C,Aquaculture. Fish farming.,LET Secondary,Technology and Livelihood Education,Agriculture and Fishery,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
48,48,5,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The most common fiber used in textile production:,,,Nylon,,Silk,,Cotton,,Polyester,,,,C,Cotton. Natural fiber.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
49,49,5,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,Which is an example of biodegradable waste?,,,Glass,,Plastic,,Vegetable peelings,,Metal cans,,,,C,Vegetable peelings. Biodegradable.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
50,50,5,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A key principle in food preservation is:,,,Eliminate moisture,,Increase temperature,,Add bacteria,,Limit oxygen LET Reviewer Technology-Vocational Teacher Education 2026,,,,A,Eliminate moisture. Prevents spoilage.,LET Secondary,Technology and Livelihood Education,Home Economics and Food Technology,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
51,1,1,BSED TVTED P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P10.pdf,A 230 V circuit draws 5 A of current. What is the power consumed?,,,"1,050 W",,"1,150 W",,"1,100 W",,"1,150 W",,,,D,"Answer key: (230×5=1150) → D. 1,150 W",LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
52,2,1,BSED TVTED P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P10.pdf,"In technical drafting, a pictorial drawing that shows three dimensions is called:",,,Orthographic projection,,Isometric drawing,,Working plan,,Sectional view,,,,B,Isometric drawing. Shows 3D view.,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
53,3,1,BSED TVTED P10.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P10.pdf,"When sharpening a chisel, the correct angle to maintain is approximately:",,,25°–30°,,40°–45°,,50°–55°,,15°–20°,,,,A,25°–30°. Ideal sharpening angle.,LET Secondary,Technology and Livelihood Education,Welding and Metalwork,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
