No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
13,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Theres had been recent bank runs and bank closures. How much of the deposits is covered for reimbursement by the PDIC or Philippine Deposit and insurance corporation:,P 100 thousand,P100 million,P 50 thousand,2 million,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
14,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Gemillina is a tree propagated lately for electrical posts. However, this specie was found destructive if allowed to stay long since",The tree is not resistant to wind,The roots absorb a lot of water,The body spreads wide,The bark is filled with woms,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
15,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Inaugural programs are well attended because it is _________ held.,frequently,often times,seldom,rarely,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
16,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Progation of a new carabaao breed in Central Luzon State University is due to:,a sexual propagation,law of mutation,law of heredity,genetic cloning,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
17,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Children of obese parents have natural tendencies to be obese. Doctors advise parents on maintaining the right weight of children age 0-12 by:,giving balanced diets with accompanying exercise,reducing milk intake,"reducing intake of chocolates, candies and pasties",encouraging more intake of soda drinks,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
18,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Matapos alagaan at apakaining sa palad siya ay kinagat sa sariling kanang kamay. Ito’y may kahulugan sa:,katraydoran sa negosyo,kawalang utang na loob,kabastusan ng tao,kawalang galang sa matatanda,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
19,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,A new copier machine was choses because:,its repair was free for six months,its guarantee was six months,its brand was recommended by the agent,its feature were ordinary,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
20,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Value formation is done through a process. Awareness is not enough. What is most lasting?,Preaching on values,Intellectualization,Modeling the value through a process,Posting slogans to the effect,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
21,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Ano ang nagbunsod ng pagbabago sa yugto ng panitikang Filipino?,Pagdating ng Amerikano sa bansa,Pag-aabuso ng kastilasa mamamayan,Pag-alis ng mga tao da kawit,"Panggunita kina Padre Gomez, Burgos at Zamora",,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
22,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Recent bank runs into bankruptcy because of:,Corruption,Mismanagement,Flight of capital,Loss of capital,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
23,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The Philippine Group in Netherlands insists on holding peace talk outside the Philippines. Where is the best venue where people concerned can meet?,Philippine shores,Hongkong,Netherlands,United states,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
24,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,There are to 2 big pineapple canning factories in the Philippines. Which is located in Cotabato?,Dole,Mama site,Del Monte,Purefoods,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
25,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Kitchen fuel that caused big conflagration in homes and cites are:,15:1,1:15,1:4,2:15,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
26,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Did you get the instructions? What is the appropriate answer?,Well and good,That’s OK,"Certainly, we did","Sorry, we didn’t",,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
27,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Excursions are encouraged to allow participants to see places. All the 400 personnel fell ill. Doctors laboratory finding traced the cause to:,gabi,bulan,araw,ulan,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
28,2,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,“Dangal ang puhunang sa baya’y pamana. Bago ang sarili ay bayan muna. “Ano ang payo ditto?,bayan muna bago ang sarili,"mamamayan muna, bago bayan",mahalaga ang nayan at sarili,sarili ang dapat unahin upang umunlad,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
29,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"After an airplane crash, passengers who choose a flight would say:",“A front seat would be safest.”,“I want a reservation on the back seat.”,“A middle aisle seat would allow easy escape.”,“A seat closest to the cockpit be given to me”,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
30,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"In June, classes in home economics are asked to prepare fruits into:",Preserved fruit juices,Conserved fruit juices,Preserved fruit confections,Preserved fruit products,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
31,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Which statement is true?,√5 is a rational number,0 is a positive number,√3 is a real number,√4 is an irrational number,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
32,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Every December 10, schools and civic grouos gather to celebrate",Human rights Day,Mother’s Day,Independence Day,United Nation Day,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
33,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Form a sentence from these words. I. The senator II. As a legislator III. Although he raised his voice IV. Accepted several amendments,"II, I, IV, III","IV, III, II, I","I, II, III, IV","II, I, III, IV",,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
34,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The committee discussed the issue and everyone at the end seemed ____to the findings.,ignorant and civil,reluctant to accept,negative get open,amendable to consider,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
35,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Batay sa bilingual na edukasyon, mainam ang gamit ng Filipino sa Araling Panlipunan dahil:",Malimit pag-usapan ng mga mag-aaral ang konsepto kahit sa labas ng paaralan,Madaling paipaliwanag ang mga konsepto sa Filipino,Madaling maunawaan ang mga konsepto sa Filipino,Walang pag-aalinlangan ang pagsagot ng mga mag-aaral sa wikang Filipino,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
36,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The sociological concept of home for most Filipino is the presence of:,Families with boarders in addition to the family members,Family nucleus and extended families,Families with illegal light and water connections,"Families with pet dogs, cooks and cats",,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
37,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Manila Zoo attracted children during excursions. How should children be briefed about newly born tiger’s cub to avoid accidents?,Use sticks to awaken mother tigers,How at the cub with a microphone,Watch the mother feeding and just take picture,Allow children to feed cubs with their palms,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
38,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,If a = 8; b = 16; c = 38; Find the value of √,4,6,3,5,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
39,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The advice on the invitation was found. Who failed to get the massage?,No barong Tagalog please,Come in coat and tie,Polo barong with denims are OK,Denim pants are al right,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
40,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The bank was swarmed with depositors. The bank.,declared an open house,declared dividends,declared a holiday,declared bankruptcy,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
41,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,On is stressed in given situations. Choose the situation called for:,her visitors are on the way,be on time please,he came on holiday,it happened on a Tuesday,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
42,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Noong taong 1962 ano ang pagbabago sa paglimbang ng diploma at sertipiko ng pagtatapos?,Pinahintutukan ang pribadong paaralan na maglimbag sa wikang Ingles,Nilimbang sa Filipino ang diploma ngunit may Ingles,Malimbag sa Filipino and diploma,Nilimbag sa Taglisg ang diploma sa di Tagalog na bayan,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
43,3,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"The areas of Navotas, Valenzuela and Caloocan are always flooded during rainy season. The engineers account this to high tide especially in July and August. But really it is:",below sea level,under sea level,approximately of sea level,above sea level,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
44,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,How many grams of shabu will no allow bonds for culprits?,2150 grams,200 grams,1000 grams,300 grams,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
45,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,A swimming contest is held in a four lane swimming pool of 50 meters long. The contest is for 200 meters. How many times will each swimmer run in this contest?,4 times,10 times,5 times,16 times,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
46,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Write the ratio in the lowest term two hours to 30 minutes,2:15,2:4,2:30,4:1,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
47,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Lately, students are exposed to a series of achievement tests. Parents observed that:",Tests were used for teaching,Tests are indices of teacher’s competencies,Children learned through periodic teaching,Teaching was for tests,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
48,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The virus “Love bug” is a recent technological element spread by:,Internet,radio,television,computer,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
49,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,NAPOCOR is to privatized. This means:,Every private individual gets a share,Government has a share,Everyone owns NAPOCOR,Some private owners will come in,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
50,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Ang dinanas ng mga babae sa kamay ng Hukbong Hapon ay sinasalaysay ni:,Maria Clara,Diwata,Gabriela,Orang,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
51,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Tere is a campaign against cholera. How can the pupils get protected catching the disease?,Contact the parents for a meeting,Teach children to wash their hands before and after meals,Open up a store in the classroom for children’s recess snack,Allow children to eat food sold by peddlers,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
52,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Poisoning of farmers during fertilizing field is traced to:,smoking during and after spraying,using bottle drinking,failure to use hand gloves,spraying fields at high noon,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
53,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Choose the statement that seems right in negotialors,he led the group to areas of concerns,he lead group to clear out differences,he led the group to a conclusion,he led the group to an interactive discussion and conclusion,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
54,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Give the value of a if the statement 1s 4ab = 20 and b = 5:,3,1,2,4,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
55,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Australian experts were asked to explore a better way of generating electricity. This is dor through,undersea cable transmission,sulphuric reserve actuation,waterfall reserve actuation,geothermal utilization,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
56,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Cooperatives established by the farmers failed to thrive well because:,cooperative activities are poorly managed and implemented,members distrust their cooperative officials,seed money for cooperative shared by senators and congressmen poorly administered,farmers were used to dole outs,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
57,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Ang kahon ay mabigat kaya di ____ ng bata.,inkinaya,mabuhat – buhat,mabuhat,buhatin,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
58,4,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,There are many cases of abuse on Filipino contract workers. Where can these workers seek justice and redness?,Philippine Supreme Count,Department of Justice and the Foreign Affairs Consulate Office in the foreign seek justice and release?,International Court of Justice,Department of labor and Employment,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
59,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Which of this group of capitalized words does not belong to the group in terms of sound?,THAT picture is impressionistic,This THESIS is original,THOSE are her new projects,THESE books are of recent editors,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
60,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,DOGS are often affected by rabies but lately other animals have been identified and they are:,Birds,cats,pigs,snakes,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
61,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Home is the soldier. Home and free! This tell us,The soldier died heroically,The soldier is at peace in death,The soldier is well armed home,The soldier is decorated upon arrival,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
62,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,What is the sun of √9 and √4.,3,5,2,4,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
63,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Aling wika ang ginagamit na batayan ng wikang pambansa?,Tagalog,Hiligaynon,Bisaya,Bicol,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
64,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Quality of education they say is:,every citizen’s accounting task,every parent’s and teachers responsibilities task,everyone’s responsibility,everybody’s concern at times,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
65,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Which placard tells of a wide choice during the grand sale?,“Pairs Varied Plenty”,“Single items Limited”,“No Duplicates Available”,“Choose Your Wild”,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
66,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,How does the Department of Science and technology (DOST) assure quality science teaching is secondary schools?,Carry one science fair every year,Open up science high schools in every province,share researchers and distributes equipment to schools,Maintain a scholars grant for deserving science and mathematics teacher,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
67,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Long fellow mentioned life as light as shadow. What figure of speech is it used?,Personification,Argumentation,Simile,Metaphor,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
68,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Magbababala ang pulis sa mga tumatawid alin ang tama?,Tawid na kayo at luntian ang ilaw,"Hoy! Pula ang ilaw, tigil",Bantayan and ilaw bago tatawid,Huhulihin and tatawid sa maling ilaw o signal,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
69,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,“Never the Twain shall meet…” Means the lines are:,straight,perpendicular,parallel,circular,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
70,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Before a formal legislation is passed, approval settlement of issues are done by committee members of both houses. This avoids unnecessary controversial issues. What do you call the body?",Senate Committee,BI-cameral Committee,Oversight Committee,House of Representatives Committee,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
71,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,This was as beautiful as a picture. She sough an answer to this. “I want to be loved birth body and soul. “Here she meant that love.,can be carnal and platonic,must be sexy to be adored,is both mind and body,is a process of mental exercise,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
72,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Transplanting of human organs are no longer impossible. The most recent discovery in Russia is:,heart transplant,retina eye transplant,kidney transplant,placenta transplant,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
73,5,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,How can a farmland transferred to a tenant be reclaimed by the landowner? In such conditions as:,when the tenant re-sells his land to non-recognized transferees,When the tenant on a rent basic fails to submit the agreed rental of several cavans of rice and corn for three (3) consecutive harvest,When the tenant fails to pay the agreed rental for five planting season,When the tenant fails to pay land tax,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
74,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The issue on the Spratly island claims can be solved by a panel made up of representatives from:,United Nations Assembly,European Countries,Security Council,ASEAN Pacific countries laying claims,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
75,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,What is the value on N in: 18 2/16 + 26 ¼ = N,44 3/8,44 ½,44 ¼,43 4/16,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
76,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Honey is extracted from bees. To ensure a supply of honey for food and medicine. What has been resorted to lately?,Discourage the use of pesticides in honey farms,Gather honey from the forest,Encourage bee farm in chosen areas,Culture honey bees for propagation,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
77,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Which expresses the polynomial in the following?,x – x + 9 – 3x + 10x,2x + 4x – 3,xy – x – 6,x – 4x + 2x – x + 2,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
78,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"She bought her daughter a new dress, which was fashionable. It was”","a copy from, Italian catalogue",a remodeled dress,an imitation from the original,an origin creation of a couturier,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
79,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,A package sent by a balikbayan was discovered open. This is a case of,substitution,rubbery,pilferag,oppression,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
80,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Ang Gintong panahon ng mga manunulat noong panahon ng Amerikano ay batid sa uring:,Sanaysay,Nobela,Panulaan,Maikling kwento,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
81,6,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The majority members in the House of Representation rejected the measure. This mean:,They defined party commitment,They favored the leadership,They joined the minority,They bottled the majority party,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
