No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
16,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,16,5,"Abstract Reasoning Test 1, Question 16. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q16.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q16.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
17,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,17,5,"Abstract Reasoning Test 1, Question 17. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,A,Answer key from source: A.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q17.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q17.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
18,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,18,6,"Abstract Reasoning Test 1, Question 18. Which figure belongs in neither group?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q18.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q18.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
19,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,19,6,"Abstract Reasoning Test 1, Question 19. Which figure belongs in neither group?",Figure A,Figure B,Figure C,Figure D,,A,Answer key from source: A.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q19.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q19.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
20,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,20,6,"Abstract Reasoning Test 1, Question 20. Which figure is next in the series?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q20.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q20.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
21,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,21,7,"Abstract Reasoning Test 1, Question 21. Which figure is next in the series?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q21.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q21.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
22,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,22,7,"Abstract Reasoning Test 1, Question 22. Which figure completes the grid?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,pattern-completion,2,Yes,cse_abstract_2026_psychometric_test1_q22.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q22.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
23,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,23,7,"Abstract Reasoning Test 1, Question 23. Which figure completes the grid?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,pattern-completion,2,Yes,cse_abstract_2026_psychometric_test1_q23.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q23.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
24,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,24,8,"Abstract Reasoning Test 1, Question 24. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,C,Answer key from source: C.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q24.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q24.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
25,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,25,8,"Abstract Reasoning Test 1, Question 25. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q25.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q25.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
26,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,1,1,"Abstract Reasoning Test 2, Question 1. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q01.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q01.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
27,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,2,1,"Abstract Reasoning Test 2, Question 2. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q02.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q02.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
28,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,3,1,"Abstract Reasoning Test 2, Question 3. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,A,Answer key from source: A.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q03.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q03.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
29,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,4,1,"Abstract Reasoning Test 2, Question 4. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q04.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q04.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
30,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,5,1,"Abstract Reasoning Test 2, Question 5. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q05.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q05.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
31,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,6,2,"Abstract Reasoning Test 2, Question 6. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test2_q06.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q06.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
32,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,7,2,"Abstract Reasoning Test 2, Question 7. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test2_q07.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q07.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
33,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,8,2,"Abstract Reasoning Test 2, Question 8. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test2_q08.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q08.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
34,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,9,2,"Abstract Reasoning Test 2, Question 9. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test2_q09.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q09.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
35,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,10,3,"Abstract Reasoning Test 2, Question 10. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test2_q10.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q10.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
36,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,11,3,"Abstract Reasoning Test 2, Question 11. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,E,Answer key from source: E.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q11.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q11.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
37,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,12,3,"Abstract Reasoning Test 2, Question 12. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q12.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q12.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
38,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,13,3,"Abstract Reasoning Test 2, Question 13. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,B,Answer key from source: B.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q13.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q13.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
39,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,14,3,"Abstract Reasoning Test 2, Question 14. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,A,Answer key from source: A.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q14.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q14.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
40,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,15,4,"Abstract Reasoning Test 2, Question 15. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q15.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q15.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
41,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,16,4,"Abstract Reasoning Test 2, Question 16. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q16.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q16.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
42,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,17,4,"Abstract Reasoning Test 2, Question 17. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test2_q17.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q17.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
43,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,18,5,"Abstract Reasoning Test 2, Question 18. Which figure belongs in neither group?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q18.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q18.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
44,Abstract Reasoning 2.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 2.pdf,19,5,"Abstract Reasoning Test 2, Question 19. Which figure belongs in neither group?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test2_q19.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test2_q19.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
