No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
11,10,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The most useful indicator of the degree of democracy reached by a particular society is whether it has a:,,,Formal method whereby people can effect changes in government policy,,System of government checks and balances,,Two-house legislature,,Civilian government,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
12,11,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The ancient name of Panay is ________.,,,Aninipay,,Irong-Irong,,Baranas,,Aglipay,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
13,12,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,President Gloria Macapagal Arroyo took her oath as President of the Philippines at?,,,Malacañang Palace,,The EDSA Shrine,,The Quirino Grandstand,,Quezon City Reception House,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
14,13,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"President known as the ""Savior of democracy""",,,Garcia,,Marcos,,Aquino,,Magsaysay,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
15,14,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"An important document signed in Washington DC between the Philippine government headed by Magsaysay and the US on Dec 15, 1954 which provided for the gradual abolition of free trade between the US and the Philippines from January 1, 1956 to July 3, 1974.",,,Military Bases Agreement,,Laurel-Langley Agreement,,Exploring free trade agreement,,land use agreement,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
16,15,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The president of the United States is elected by the electoral college. What type of system is this?,,,Representative democracy,,Oligarchy,,Dictatorship,,Pure democracy,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
17,16,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,In ancient Athens (Greece) tribes and generals took turns at power. This is an example of what type of political system?,,,Monarchy,,Dictatorship,,Pure democracy,,Oligarchy,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
18,17,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,What type of political system is headed by Queen Elizabeth II of England?,,,Monarchy,,Oligarchy,,Dictatorship,,Pure democracy,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
19,18,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,total amount paid by Japan as reparation for the destruction committed by the Japanese forces in the Philippines during WWII,,,"$200,500,000.00 for 25 yrs.",,"$200,000,000.00 for 25 yrs.",,"$300,500,000.00 for 25 yrs.",,"$300,000,000.00 for 25 yrs.",,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
20,19,2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"Treaty signed by Pres. Magsaysay in San Francisco, USA on July 16, 1956 ratified by the senate, thereby ending the state of war between Japan and Philippines",,,San Francisco Treaty,,Penn treaty Park,,Treaty of Hubertusburg,,Treaty of Versailles,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
21,20,2-3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The Zhou Dynasty claimed this principle gave them the right to rule.,,,Mandate of Heaven,,Legalism,,Censors,,Shang Dynasty,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
22,21,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The two most important rivers in China,,,Clang Hang & Hanfeizi,,Chang Jiang & Hanfeizi,,Confucius & Huang He,,Chang Jiang & Huang He,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
23,22,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The Great Wall of China was mostly built by _________.,,,Labors,,Farmers,,Unskilled Workers,,Contractors,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
24,23,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"In Chinese Society, the merchants were ranked below these ___________.",,question_image_page_03_q23,Farmers & Aristocrats,,Farmers & Architects,,Foremen & Aristocrats,,Recruits & Originators,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,Yes,,0.47,Needs Image Extraction,Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects and the item has visual-reference language; crop must be reviewed/extracted manually.
25,24,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Qin Shihuangdi based his rule on this is ___________.,,,Permissible,,Legalism,,Endorsed,,Sanctioned,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
26,25,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Why did so many Chinese begin to practice Buddhism?,,,Because the Chinese government required every person practice a religion and most Chinese at that time did not have religion. Buddhism gave them peace.,,"Because Buddhism allowed people to build hospitals for people and animals, built stupas, built roads with rest stops and shade trees.",,Because parents wanted to send their children to the Theravada school of Sri Lanka which was an early Buddhist schools that believed everyone was generally accepted as representatives.,,Because lots of fighting and war broke out when the Han Dynasty fell and Buddhism helped the people cope with their fear and stress. The Chinese were able to seek inner peace and cleanse themselves of worldly desires,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
27,26,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,President from Bohol known to be a poet-politician and a good chess player.,,,Diosdado Macapagal,,Carlos Garcia,,Ramon Magsaysay,,Manuel Roxas,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
28,27,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Who believed all humans were evil?,,,Hanfeizi,,Confucius,,Liu Bang,,Laozi,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
29,28,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Who taught that people should put their family and community before their own wants?,,,Hanfeizi,,Confucius,,Liu Bang,,Laozi,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
30,29,3,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Who was the founder of the Han Dynasty?,,,Hanfeizi,,Confucius,,Liu Bang,,Laozi,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
31,30,3-4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"Who was the founder of Daoism and ""The Old Master""?",,,Hanfeizi,,Confucius,,Liu Bang,,Laozi,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
32,31,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Who were military leaders with their own armies?,,,Governor,,Bureaucrat,,Warlords,,Administrator,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
33,32,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"President who proclaimed Sultan Kudarat, a Maguindanao sultan, a national hero of the Philippines",,,Ferdinand Marcos,,Manuel Quezon.,,Joseph Estrada,,Fidel Ramos,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
34,33,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,First President to take his oath in Pilipino,,,Carlos P Garcia,,Ramon Magsaysay,,Manuel L Quezon,,Ferdinand Marcos,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
35,34,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"Name given to the ""New Republic"" of 1981",,,First Republic,,Second Republic,,Third Republic,,Fourth republic,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
36,35,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Who are the head of the Chinese family?,,,The Oldest Man,,The Father,,The Oldest Woman,,The Smartest Person,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
37,36,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"What is the meaning of NPA, as the military arm of the communist Party of the Philippines?",,,National Policy Association,,New People's Army,,No Permanent Address,,Non-Performing Assets,,,,,,LET Secondary,Social Studies,Vocabulary,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
38,37,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Wu Wang lead a rebellion against this dynasty because they were cruel,,,The Han Dynasty,,The Daoism Dynasty,,The Shihuangdi Dynasty,,The Shang Dynasty,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
39,38,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,A system of appointed officials that run different parts of the government.,,,Bureaucracy,,Civil Service,,Officialdom,,A Union,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
40,39,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,_________ promotes a peaceful society,,,Taoism,,Dao De Jing,,Zhuangzi,,Daoism,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
41,40,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,A formal order is ____________.,,,Directive,,Consent,,Mandate,,Tenure,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
42,41,4,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,A practice that requires children to respect their parents and older relatives.,,,Permissible,,Filial Piety,,Hanfeizi,,Bureaucrat,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
43,42,4-5,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,New system of provincial and town councils created by President Marcos in,,,Kilusang Kabuhayan at Kaunlaran,,New Society,,Sanggunianng Bayan,,Batasang Pambansa,,,,,,LET Secondary,Social Studies,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
44,43,5,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The alleged assassin of Ninoy Aquino,,,Rolando Galman,,Danding Cojuangco Jr.,,Gen. Fabian Ver,,Ferdinand Marcos,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
