No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
22,22,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The suspect on the witness stand seems CULPABLE. The word culpable means:,,,Guilty,,Blameless,,Innocent,,Pliable,,,,,,Both,English,Vocabulary,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
23,23,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The National Heroes Day Celebration reminds us about historical personalities worth ________.,,,Emanating,,Appreciating,,Studying,,Emulating,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
24,24,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,He has a very erratic behavior. ERRATIC means:,,,Inconsistent,,Stable,,Normal,,Predictable,,,,,,Both,English,Educational Psychology,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
25,25,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"If a thing doesn’t break that easy, it is:",,,Brittle,,Ductile,,Brilliant,,Brisk,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
26,26,3-4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,This one is made from ersatz coloring. ERSATZ means:,,,Real,,Genuine,,Authentic,,"Artificial 4 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
27,27,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"Upon seeing anxious and uneasy guests, the master of the house exclaimed, “What are all these HUBHUB about? HUBHUB can be defined as:",,,Stillness,,Hush,,Commotion,,Serenity,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
28,28,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The president must be a HIGH- MINDED person. High-minded means:,,,Unprincipled,,Mean,,Corrupt,,Honorable,,,,,,Both,English,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
29,29,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"The votes of the poor might seem FRIVOLOUS to you, but most of the time, they are the ones who change election history.",,,Significant,,Vital,,Practical,,Worthless,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
30,30,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Government workers must deal with their clients ____________.,,,Covertly,,Curtly,,Rudely,,Courteously,,,,,,Both,English,Government,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
31,31,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Her fondness of reading mystery novels and fairy tales made her __________.,,,Superstitious,,Gullible,,Easy-going,,Trustworthy,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
32,32,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The editor found the news story not so entertaining. He found it full of:,,,Adjectives,,Verbs,,Pronouns,,Adverbs,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
33,33,4,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Ebett and Evann were mischievous children. They ______ tricks of their teachers which always got them into a lot of trouble.,,,Could have played,,Used to play,,Could play,,May have played,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
34,34,4-5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"Samantha’s eye are blurred and her hands cried. She _________ at the computer for 6 long hours. Finally, she took a break.",,,was seated,,has seated,,would have seated,,"had been seated 5 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,ICT in Education,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
35,35,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"“When will Mr. Padilla retire?” “Soon, I think he ______ for a long time. He will probably retire this year.”",,,Have been working,,Had been working,,Has been working,,Is working,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
36,36,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"There are great movies that are worth watching once, there are some that are worth watching twice, _________ there are movies that are worth watching over and over again.",,,But,,Still,,And,,Nevertheless,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
37,37,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"If I _________ rich, I would travel abroad every year.",,,Were,,Am,,Should be,,Was,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
38,38,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,This seatwork is difficult for Paul and ____________.,,,Myself,,I,,Me,,Himself,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
39,39,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The candy cane smells ____________.,,,Sweet,,Sweetly,,Sweeter,,More sweet,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
40,40,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Whether or not a man likes what he ____________ is the measure of choosing well.,,,Choose,,Has chosen,,Chose,,Is choosing,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
41,41,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Which ED end sound is different?,,,Needed,,Granted,,Wanted,,Signed,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
42,42,5,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Which among these words has the ending [d] sound?,,,Joked,,Laughed,,Walked,,Played,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
43,43,5-6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Which among these words has the [z] end sound?,,,Maps,,Jokes,,Laughs,,"Buys 6 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
44,44,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Which among these words has the [id] end sound?,,,Praised,,Mailed,,Judged,,Needed,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
45,45,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Which among these words has the [zh] end sound?,,,She,,Excursion,,Chips,,Fish,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
46,46,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,“My loyalty to my party ends where my loyalty to my country begins.” This quotation is from:,,,Roxas,,Carlos P. Garcia,,Manuel,,Ferdinand,,Marcos,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
47,47,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,“The Filipino is worth dying for.” This quotation by:,,,Benigno Aquino,,Carlos P. Garcia,,Jose Rizal,,Fidel V. Ramos,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
48,48,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,“You see things that are and you ask why but I dream that never were and ask why not.”,,,Clear thinking,,Immortality,,Curiosity,,Rich Imagination,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
49,49,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The song “No man is an Island” mirrors:,,,Individualization,,Solitude,,Independence,,Brotherhood,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
50,50,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The space shuttle is as fast as the wind. This is an example of:,,,Simile,,Metaphor,,Personification,,Antithesis,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
51,51,6,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,____________ wrote “Without Seeing the Dawn”,,,Maximo Ramos,,Steven Javellana,,Paz M. Venitez,,Magdalena Jalandoni,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
52,52,6-7,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,“She is the sun of my world.” This is an example of:,,,Simile,,Metaphor,,Hyperbole,,"Onomatopeia 7 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
53,53,7,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Who is the author of this famous quote: “I die just when the dawn breaks to herald the day.”,,,Benigno Aquino,,Manuel L. Quezon,,Jose Rizal,,Andres Bonifacio,,,,,,Both,English,Reading Comprehension,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
