No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
11,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,6,A number is divisible by 8 if its last three digits is divisible by 8. Which of the following numbers is divisible by 8?,9 208,6 236,88 254,8 886,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 9 208 b. c. d. sub_topic:word-problems-sub
12,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,6,Which of the following statements is true?,"If a number is divisible by 5, then it is divisible by 10.","Ifanumberisdivisibleby10,thenitisdivisibleby 5.","If a number is divisble by 3, then it is divisible by 6","If a number is divisible by 4, then it is divisible by 8",,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
13,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,6,Simplify: ½ (128 – 84) – ½ (128 – 84),0,20,44,64,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
14,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,6,Simplify: 33 1/3% of 48 + 12 ½% of 96 – 44 4/9% of 27,12,16,24,48,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
15,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,6,Reduce 231/1001 to its lowest terms,7/11,3/31,3/13,7/13,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
16,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,6-7,Which of the foloowing is true?,-16 > 8,8/64 = ¼,54 – 8 8 – 54,9/117 = 1/17,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
17,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,7,Find the value of x: 83(72) 75(35),27,36,45,52,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
18,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,7,What is 25% of 228?,52,57,54,912,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
19,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,7,228 is 25% of what number?,52,57,54,912,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
20,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,7,168 is what percent of 672?,25%,50%,400%,80%,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 25% b. c. d. sub_topic:word-problems-sub
21,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,7-8,Evaluate: 123 x 0.1 + 123 x 0.01 + 123 x 0.001,13.653,135.53,1 356.3,13 563,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 13.653 b. c. d. sub_topic:word-problems-sub
22,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,8,Find 3 ¼ of 16,7,16,39,52,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
23,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,8,Evaluate: 1 + ½ + ¼ + 1/8 = ?,1 3/16,1 3/8,1 5/8,1 7/8,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
24,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,8,Find the value of x in the equation: 3x + 7 = 28,7,-7,7,4,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Duplicate answer-choice text detected. Could not uniquely map red answer text: a. 7 b. c. d. sub_topic:word-problems-sub
25,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,8,Which of the following has the greatest value?,,,,,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Missing one or more A-D choices. No red answer text detected. sub_topic:word-problems-sub
26,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,26,8-9,Whic of the following cannot yield an odd integer when divided by 10?,The sum of two odd integers.,The product of a prime number and an odd integer,The product of two odd integers,The sum of three consecutive integers,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: c. The product of two odd integers d. sub_topic:word-problems-sub
27,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,27,9,"If 8x + 12 = 24, what is the value of 24x + 36",4,6,8,72,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
28,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,28,9,"If a positive integer m is divisible by both 3 and 8, then m must also be divisible by",10,18,24,60,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
29,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,29,9,"If positive integers m and n are not both odd, which of the following is always true?",m + n is even,mn is even,m – n cannot be odd,m + n – 1 is odd,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
30,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,30,9,"Find the average temperature change for the 12-day period. Temperature change in degree celsius: 2.6, 3.8, 7.0, 4.5, 4.6, 7.9, 5.0, 8.1, 4.4, 5.3, 6.4,",,,,,,,,Both,Numerical Ability,word-problems,2,No,,,Incomplete,Word Problems and Operations. Could not parse four answer choices. sub_topic:word-problems-sub
31,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,9,2,4.8,4.9,5.2,5.4,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Needs Review,Word Problems and Operations. Question stem is too short or unclear. sub_topic:word-problems-sub
32,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,31,9-10,Find the set of all odd numbers x satisfying the conditions 5x - 4≤ 0 and 3x – 7 b. 0 d.,,,,,,,,Both,Numerical Ability,word-problems,2,No,,,Incomplete,Word Problems and Operations. Could not parse four answer choices. sub_topic:word-problems-sub
33,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,32,10,"State the property illustrated. If 8(6) + 4 = 48 + 4 = 52, then 8(6) + 4 = 52",distributive property of multiplication over addition,commutative property of addition,associative property,transitive property of equality,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
34,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,33,10,"If 8 less than the product of a number and -3 is greater than 7, which of the following could be that number?",-6,-,5,5,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Duplicate answer-choice text detected. Could not uniquely map red answer text: a. -6 b. c. d. sub_topic:word-problems-sub
35,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,34,10,The6 difference between 8 times a number and 17 is 231. Find the number.,31,37 48,1 984,,,A,Correct answer is marked in red in the source PDF: A.,Both,Numerical Ability,word-problems,2,No,,,Incomplete,Word Problems and Operations. Missing one or more A-D choices. sub_topic:word-problems-sub
36,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,35,10-11,"Four times the perimeter of a parking lot is 16 less than 2,000 meters. What is the perimeter of the lot?",496 m,504 m,992 m,"1,008 m",,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 496 m b. c. d. sub_topic:word-problems-sub
37,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,36,11,"The amount of last month’s telephone bill, decreased by the product of 3 and Php30.00 equals Php1,319.50 a. Php 1,229.50 Php 1,289.50 c. Php 1,310.50 d. Php 1, 409.50",,,,,,,,Both,Numerical Ability,word-problems,2,No,,,Incomplete,Word Problems and Operations. Could not parse four answer choices. sub_topic:word-problems-sub
38,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,37,11,Eighteen less than seven times the number of sandwiches is 269. How many sandwiches are there?,32,41,44,45,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
39,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,38,11,A house and lot are sold for Php 14M. The house costs 1.5 times as much as the lot. How much does the lot cost?,Php 5.6M Php 8.4M,Php 10.5 M,Php 21M,,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Missing one or more A-D choices. Could not uniquely map red answer text: a. Php 5.6M b. c. d. sub_topic:word-problems-sub
40,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,39,11-12,"The sale price of a television set is Php 7,200. The discount rate is 40%. Find its regular price.","Php 4,320","Php 12,000","Php 6,800","Php 10,000",,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
41,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,40,12,The lenghts of the sides of a triangle can be represented by three consecutive integers. The perimeter of the triangle is 96cm. Find the length of the longest side of the triangle.,28,32,33,36,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
42,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,41,12-13,The length of a rectangle is 8 meters more than twice its width. The perimeter is 112 meters. Find its area.,16m,24m,28 m2,640 m2,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
43,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,42,13,Paula is twice as old as Queenie. Seven years ago the sum of their ages was 16. How old is Queenie now?,8,10,16,20,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
44,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,43,13,"For what value of x will x be the average of 2, 4x, 6, 8, 10?",4,12,26,39,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
45,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,44,13,How many integers between 197 and 303 are divisible by 4 or 10?,25,26,31,37,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
46,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,45,13,"A patient must take his medication every 7 hours starting at 7:00 AM, Sunday. On what day will the patient first receive his medication at 8 AM?",Sunday,Wednesday,Thursday,Tuesday,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
47,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,46,14,"Of the 300 grocery shoppers surveyed, 96 did not have a regular day of the week on which they shop. What percentage of the shoppers did not have a regular day of shopping?",32%,48,%,64,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. 32% b. c. d. sub_topic:word-problems-sub
48,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,47,14,A wate%r container has 100mL of water in it and is 20% full. How many mL of water can this container hold if it is full? 96,200 mL %,400 mL,500 mL,800 mL,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
49,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,48,14,How many containers each occupies an area of 2 1/8 square meters can be stored in a 952 square meter warehouse?,358,448,530,630,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
50,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,49,14,"A starting salary of a secretary at ABC Computer Specialists is Php15,000 a month. Next year the starting salary will be raised to Php18,000. What is the rate of increase in the starting salary?",3%,20%,25%,30%,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
51,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,50,14-15,"The cost of a square meter commercial lot in a certain municipality five years ago was Php12,500. There was a 420% increase in the price in the last five years. What is the price per square meter of that lot today?","Php 17,500","Php 52,500","Php 19,000","Php 65,000",,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
52,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,51,15,"Last month, a store manager decided to decrease the prices of all items by 10%. This month, he increased the prices by 10%. What would be the price for a pair of pants that had cost Php750 before prices were decreased last month?",PHp 742.50,Php 750.00,Php 675.00,Php 825.00,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Could not uniquely map red answer text: a. PHp 742.50 b. c. d. sub_topic:word-problems-sub
53,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,52,15,"When the original price of an item is increased by a certain rate, the increased price is Php 3,100. When the original price is decreased by the same rate, the decreased price is Php1,900. What is the original price of this item?","Php1,200",Php200,"Php2,500","Php2,800",,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
54,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,53,15,"How much must one has to invest in corporate bonds paying 9.6% in order to earn an income of Php12,000 per annum?","Php11,520","Php 23,040","Php 125,000","Php 250,000",,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
55,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,54,15,"How much must be cut form the edge of a piece of glass 16 1/8 cm wide, in order for it to fit into an opening 14 ¾ cm wide?",2 3/8cm,1 7/8cm,1 3/8cm,2 5/8 cm,,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
