No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
11,9,4,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Worksheets - completing grids or writing responses,,,,,,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
12,10,4-5,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Transforms - translating or turning a piece into another genre,,,"baring the device - e.g. distorting time in various ways - foreshortening, skipping, expanding, transposing, reversing, flashback, flashforward, etc.",,defamiliarization - this means making strange and using fresh ways of describing things,,"retardation of the narrative - the technique of delaying and protracting actions by using digressions, displacements, extended descriptions, etc.",,naturalization - refers to how we endlessly become inventive in finding ways of making sense of the most random or chaotic utterances or discourse.,,"carnivalization - Mikhail Bakhtin used this term to describe the shaping effect of carnival on literary texts. The festivities associated with the carnival are collective and popular; hierarchies are turned on their heads (fools become wise; kings become beggars); opposites are mingled (fact and fantasy, heaven and hell); the sacred is profaned; the rigid or serious is subverted, mocked or loosened.",,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
13,10,5,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Marxist Literary Theory. It aims to explain literature relation to society - that literature can only be properly understood within a larger framework of social reality. Marxist literary critics would like to look at the structure of history and society and then investigate whether the literary work reflects or distorts this structure. They insist that literature has a social dimension - it exists in time and space, in history and society. Moreover, writers are constantly formed by their social contexts and social class.",,,,,,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
14,11,5,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Feminist Criticism. Branching out from Marxism, it is a political discourse; a critical and theoretical practice committed to the struggle against patriarchy and sexism.",,,Feminism asks why women played a subordinate role to men in society.,,It studies the male-dominated canon to understand how men have used culture to further their domination of women.,,Its studies literature by women for how it addresses or expresses the particularity of women’s life and experience. Feminist critics insist that women’s experience is different from men.,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
15,12,5,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Postcolonial Criticism. Postcolonialism refers to the independence enjoyed by Third World countries after the decline of colonial rule by imperialist powers. The many concerns of postcolonial criticism include the following:,,,attempt to resurrect their national culture and to combat the misconceptions about their culture,,dramatizes the colonial experience and their response to it,,"escape from the implicit body of assumptions to which the language of the colonizing power, English, was attached.",,"study diasporic texts outside the usual Western genres, especially works by aboriginal authors, marginalized ethnicities, immigrants, and refugees.",,"analyzes nationality, ethnicity, and politics with poststructuralist ideas of identity and indeterminacy, and hybrid constructions (Homi K. Bhaba)",,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
16,13,5-9,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Post Modern Literary Theory. Postmodern refers to the culture of advanced capitalist societies, which has undergone a profound shift in the ‘structure of feeling.’ Postmodern texts have the following features: 6 | LET REVIEWER UNIVERSITY",,,"Solo interpretation • Story telling - oral sharing of a personal or traditional story; it may be illustrative (using drawings) or creative / dramatic (using gestures and creative movements) for entertaining or educating • Interpretative / interpretive reading - also called dramatic reading, oral reading, or reading aloud by using the elements of voice and diction to convey meaning and mood • Declamation - recitation of a poem from memory and is marked by strong feelings • Monologue - interpretative oral performance of prose or poetry in which the interpreter plays a role",,"Group interpretation • Reading concert - also known as Readers Theatre- oral reading activity with speakers presenting literature in a dramatic form • Chamber Theater - theatrical approach to performing narrative literature • Speech Choir - also choral reading, choric interpretation, vocal orchestration - ensemble reading technique where a group of readers recite as one in coordinated voices and related interpretation: (1) reading in unison - several voices sound like one instrument, (2) solo and chorus - soloists recite lines and chorus recites refrains, (3) responsive reading - lines are recited alternately by solo or chorus V. STRUCTURE OF ENGLISH A.Sentences. Every sentence must have both a subject and a verb. 8 | LET REVIEWER UNIVERSITY 1. Three kinds of sentences • A declarative sentence states a fact, e.g., “Connie loves Rommel.” • An interrogative sentence asks a question, e.g., “Does Connie love Rommel?” • An exclamatory sentence registers an exclamation, e.g., “Like, I mean, you know, like wow!” 2. Three basic structures • A simple sentence makes one self-standing assertion, i.e., has one main clause, e.g., “Connie loves Rommel.” • A compound sentence makes two or more self-standing assertions, i.e., has two main clauses, e.g., “Connie loves Rommel and Rommel enjoys it.” • A complex sentence makes one self-standing assertion and one or more dependent assertions, subordinate clauses, dependent on the main clause, e.g., “Connie who has been desiring Rommel these twelve years, loves him, and Rommel, what’s more, still enjoys it.” 3. Restrictive and Nonrestrictive Relative Clauses • A restrictive clause modifies directly, and so restricts the meaning of the antecedent it refers back to, e.g., “This is the girl that started all the fun.” One specific girl is intended. The relative clause is not set off by a comma. • A nonrestrictive clause, though still a dependent clause, does not directly modify its antecedent and is set off by commas. “These girls, who came from Iloilo, are all sweet and charming.” 4. Appositives. An appositive is an amplifying word or phrase placed next to the term it refers to and set off by commas, e.g., “Henry VIII, a glutton for punishment, had six wives. B.Basic Sentence Patterns (based on syntax) 1. Parataxis - Phrases or clauses arranged independently, in a coordinate construction, and often without connectives, e.g., “I came, I saw, I conquered.” 2. Hypotaxis - Phrases or clauses arranged in a dependent, subordinate relationship, e.g., “I came, and after I came and looked around a bit, I decided, well, why not, and so conquered.” 3. Asyndeton - Connectives are committed between words, phrases, or clauses, e.g., “I’ve been stressed, destressed, beat down, beat up, held down, held up, conditioned, reconditioned.” 4. Polysyndeton - Connectives are always supplied between words, phrases, or clauses, as when Milton talks about Satan pursuing his way, “And swims, or sinks, or wades, or creeps, or flies.” 5. Periodic Sentence - is a long sentence with a number of elements, usually balanced or antithetical, standing in a clear syntactical relationship to each other. Usually it suspends the conclusion of the sense until the end of the sentence, and so is sometimes called a suspended syntax. 6. Loose Sentence - a sentence whose elements are loosely related to one another, follow in no particularly antithetical climactic order, and do not suspend its grammatical completion until the close. A sentence so loose as to verge on incoherence is often called a run-on sentence. 7. Isocolon - the Greek word means, literally, syntactic units of equal length, and it is used in English to describe the repetition of phrases of equal length and corresponding structure, e.g., “Harry, now I do not speak to thee in drink but in tears, not in pleasure but in passion, not in words only, but in woes also.” 8. Chiasmus - is the basic pattern of antithetical inversion, the AB:BA pattern. The best example is probably from John F. Kennedy’s first inaugural address: “Ask not what your country can do for you, but what you can do for your country.” In compound sentences, the clauses are connected by coordinate conjunctions, in complex sentences by subordinate clauses. Hemingway favors a paratactic syntax while Faulkner prefers a hypotactic one. 9 | LET REVIEWER UNIVERSITY 9. Anaphora - begins a series of phrases, clauses, or sentences with the same word. Churchill’s exhortation in 1940: We have become the sole champion now in arms to defend the world cause. We shall do our best to be worthy of this high honor. We shall defend our island home, and with the British Empire we shall fight on unconquerable until the curse of Hitler is lifted from the brows of mankind. We are sure that in the end all will come right.”",,"Eclectic Approach 1. Reading as interest - development of the recreational reading habit; the major approach is personalized or individualized reading. 2. Reading as language process • Language Experience Approach - a strategy which views reading as an extension of speaking: thinking/experiencing, talking, writing, reading. • Psycholinguistic Approach - view reading as an interaction of thought and language, a process of combining psychology and linguistics. This approach advances that reading, like listening, is a receptive process, used to understand a written message, that readers reconstruct the author’s meaning in their own words. 3. Reading as culture - focuses on the relation between dialect differences and the written message as well as on one’s cultural heritage. It makes instruction relevant to the pupil’s cultural background. 4. Reading as a learned process - emphasizes on controlled development of skills in a structured sequence progressing from simple to complex • The Basal Textbook Approach - follows this general format: scope-and-sequence or flow chart for all an overall view of skills; kindergarten readiness workbooks; first grade, second grade and above skill books; teacher’s guides and assessment tests. The standard basal text lesson follows these steps: ▪ background or motivation ▪ vocal development ▪ purposeful or guided silent reading ▪ discussion ▪ purposeful rereading ▪ skill instruction in word recognition, comprehension skill with the use of workbooks ▪ enrichment activities • The Linguistic Approach - look at reading as recognizing and interpreting graphic symbols representing spoken sounds which have meaning. It stresses sound-symbol regularity and systematic exposure to frequently used sounding patterns. • The Phonics Approach - believes that the English spelling system is essentially regular in its correspondence between letters and speech sounds and that letter sounds can be blended together to form words. For second language learner’s short phonics drills on crucial sounds like f, v, j, sh, th, z, a and the schwa are needed. • Programmed Instruction - includes step-by-step learning, learning, immediate feedback, regular and constant review and individual progress through materials. 7 | LET REVIEWER UNIVERSITY • The Skills Monitoring Approach - reading is analyzed in terms of skills arranged in hierarchies. This approach entails ▪ a scope and sequence chart of reading skills ▪ a battery of tests for preassessment of reading abilities ▪ based on test results, instruction to adjust to pupils’ interest, abilities, and needs ▪ a continuous assessment using both formative and summative tests ▪ a corrective or remedial measure ▪ an adequate and challenging enrichment activities for the bright pupils. IV.STAGE AND SPEECH ARTS A.Level / Context of Speech Communication 1. Intrapersonal - involves only oneself. • Internal discourse like thinking, analysis, contemplation, meditation • Solo vocal communication like thinking aloud, soliloquies • Solo written communication not intended for others like diaries, or personal journals 2. Interpersonal - involves an exchange between sender and receiver of a message. It may be direct (face-to-face) or indirect (via telephone, e-mail, teleconference) • Dyadic communication; two people talking • Group communication; study group, committee meetings • Public communication; scholarly lectures, political campaigns B.The Speech Arts 1. Different types of public speech according to purpose • Informative - to present facts, knowledge, information • Persuasive - to reinforce or modify the audience’s beliefs • Occasional or entertaining - to amuse the audience 2. How the speech is delivered • Impromptu speech - delivered with little or no preparation • Extemporaneous speech - delivered with some prepared structure such as notes or outlines • Memorized speech - reciting speech from memory • Manuscript speaking - reading the speech word-for-word from its written form or the manuscript 3. Types of oral interpretation",,Decentering,,Indeterminacy f. Dislocation g. Plurality h. Ludism i. Metafictionality j. Parody k. Heterogeneity l. Pastiche III. LINGUISTIC APPROACHES TO READING,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
17,1,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,"“Of man’s first disobedience , and the fruit/Of that forbidden tree” is the opening to:",,,Paradise Lost by John Milton,,The Vision of Delight by Ben Jonson,,The Fairie Quenne by Edmund Spenser,,The Pilgrim’s Progress by John Bunyan,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
18,2,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,The Picture of Dorian Gray is a novel by whose author?,,,Oscar Wilde,,Edgar Allan Poe,,John Steinbeck,,Rudyard Kipling,,,,,,LET Secondary,English,Reading Comprehension,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
19,3,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,Who was the captain of the Nautilus in “20 000 Leagues Under the Sea”?,,,Nemo,,Boneville,,Ahab,,Smith,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
20,4,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,"What canon of religious literature was finally, firmly fixed at the end of 4th century AD?",,,The Hebrew Bible,,The Mishnah,,The New Testament,,The Koran,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
21,5,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,Who wrote the novel “The Strange Case of Dr Jekyll and Mr Hyde”?,,,William Golding,,Robert Louis Stevenson,,D.H. Lawrence,,Herman Hesse,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
22,6,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,“No smoking during the cigarette break.” What kind of figure of speech was used?,,,Irony,,Oxymoron,,asyndeton,,synecdoche,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
23,7,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,The Greek dramatist authored “Alcestis” and “Andromache.”,,,Homer,,Euripides,,Virgil,,Sophocles,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
24,8,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,"In the 23rd century BC, Sargon of Akkad conquered Mesopotamia, and became the subject of legends. It is from a Sumerian legend that we learn how Sargon established himself as the cupbearer of the king of Kish in Sumer. What aerly form of writing did the Sumerians invent?",,,Cuneiform,,Hieroglyphics,,Oracle Bone Inscriptions,,Native Signs,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
25,9,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,“Memory” is the standard song of Cats musical by Andrew Lloyd Weber. He based his play on Old Possum’s Book of Practical Cats by whose author?,,,Emily Dickinson,,John Steinbeck,,Thomas Stearns Elliot Lowell,,James Rusell,,,,,,LET Secondary,English,Reading Comprehension,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
26,10,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,Which of the following is an incorrect representation of the Scarlet Letter throughout the course of the novel?,,,Able,,Avowal,,Angel,,Adulteress,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
27,11,1,ENGLISH BOOSTER DRILL PART 1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH BOOSTER DRILL/ENGLISH BOOSTER DRILL PART 1.pdf,This one is made from ersatz coloring. ERZATS means:,,,Genuine,,Authentic,,Artificial,,Real,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item.
