No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
11,3,"Consider the following game. A referee has cards labeled A, B, C, and D, and places them face down in some order. You point to each card in turn, and guess what letter is written on the bottom. You guess each of A, B, C, and D exactly once (otherwise there is no chance of getting them all right!).You play this game once, and then the referee tells you that you guessed exactly n of the letters correctly. Which value of n is not a possible value of n?",0,1,2,3,4,D. 3,"Solution: If the first three are correct, then by process of elimination the fourth has to be correct also. The same reasoning holds no matter when the three correct answers occur.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Duplicate,Section: Math Reviewer main set; original question no. 11. Near/exact duplicate of row 10.
12,4,"On a test the passing students had an average of 83, while the failing students had an average of 55. If the overall class average was 76, what percent of the class passed?",44%,66%,68%,72%,75%,E. 75%,"Solution: Let p = proportion that passed. Then 83 p + 55(1 - p) = 76, so p = 21/ 28 = .75",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 12.
13,4,"Jack and Lee walk around a circular track. It takes Jack and Lee respectively 6 and 10 minutes to finish each lap. They start at the same time, at the same point on the track, and walk in the same direction ar ound the track. After how many minutes will they be at the same spot again (not necessarily at the starting point) for the first time after they start walking?",15,16,30,32,60,A. 15,"Solution 1: Experimenting with the numbers in turn, dividing 6 into 15 and 10 into 15, we get answers one whole number apart, so they are together again at 15 minutes.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 13.
14,4,"A class has three girls and three boys. These students line up at random, one after another. What is the probability that no boy is right next to another boy, and no girl is right next to another girl?",1/20,1/12,1/10,3/10,1/2,C. 1/10,"Solution: We pick the students in order. The first choice is always okay. There is a probability 3/5 that the second choice is okay; for example, if you picked a boy first then there are two boys and three girls left. Similarly the probabilities that the remaining choices are okay is 1/2, 2/3,1/2, 1. The answer is 1/10 the product of all these probabilities.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 14.
15,4,"At a party, eac h person shakes hands with 5 other people. There are a total of 60 handshakes. How many people are at the party?",6,12,15,24,30,D. 24,"Solution: Let x be the total number of people. Then th e total number of handshakes is 5x/2where we have to divide by 2 since every handshake is counted twice. Thus 5x/2 = 60, which leads to x = 24.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 15.
16,4,Each of 10 students has a ticket to one of ten chairs in a row at a theater. How many ways are there to seat the students so that each student sits either in the chair specified on his/her ticket or in one right next to it? Each chair is to be occupied by exactly one student.,89,144,243,512,1024,A. 89,"Solution: Let F(n) be the number of ways to seat n students in a row of n chairs as described in the problem. The student who has the ticket to seat number n has two options. He/she can either sit in his/her own chair, in which case the remaining n - 1 students can arrange themselves in F(n - 1) ways. Alternatively, if this student takes the (n - 1)st seat, the student with the ticket to that chair is forced to take the nth seat, and the other n - 2 students can be seated in F(n - 2) ways. Thus, F(n) = F(n - 1) + F(n 2), i.e. this is a sequence of Fibonacci numbers. It is easy to see that F(1) = 1 and F(2) = 2. Therefore, F(10) = 89, the 10thFibonacci number.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 16.
17,5,"Allan and Bill are walking in the same direction beside a railroad track, and Allan is far behind Bill. Both walk at constant speeds, and Allan walks faster t han Bill. A long train traveling at a constant speed in the same direction will take 10 seconds to pass Allan (from the front to the end) and will take 9 seconds to pass Bill. If it will take twenty minutes for the front of the train to travel from Allan to Bill, how many minutes will it take for Allan to catch up to Bill?",200,220,240,260,280,A. 200,"Solution: Denote by vA, vB, and vT the speeds of Allan, Bill, and the train, respectively. The relative speeds of the train with res pect to Allan an Bill are then vT - vA and vT - vB. It follows from the condition that the train passes Allan in 10 seconds and Bill in 9 seconds that vT – vA /vT-vB= 9/10. The relative speed of Allan with respect to Bill is vA - vB. We have Thus, Allan’s speed with respect to Bill is ten times smaller than the train’s, so, in order to reach Bill, it would take Allan ten times the time it would take the train, i.e. 200 minutes.",Cannot Determine,Numerical Ability,Cannot Determine,Yes,/Users/lyndon/reviewnatin/output/pdf/images/cse_math_reviewer_q017_image1.png,Needs Review,Section: Math Reviewer main set; original question no. 17. Embedded PDF image/formula is preserved in image reference.
18,5,"In a group of five friends, the sums of the ages of each group of four of them are 124, 128,130, 136, and 142. What is the age of the youngest of the friends?",18,21,23,25,34,C. 23,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 18. No solution text clearly extracted for this item.
19,5,An odd integer between 600 and 800 is divisible by 7 and also divisible by 9. What is the sum of its digits?,7,12,18,21,27,C. 18,"Solution: The integer is a multiple of 63. There are three such multiples between 600 and 800. They are 630, 693, and 756. Only 693 is odd.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 19.
20,5,At night a man who is 6 feet tall stands 5 feet away from a l amppost. The lamppost’s light bulb is 16 feet above the ground. How long is the man’s shadow?,15/8 feet,3 feet,10/3 feet,4 feet,5 feet,B. 3 feet,Let x be the length of the man’s shadow. Considering similar triangles we get x / x + 5=6/16,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 20.
21,5,What is the measure of the acute angle between the hour and minute hands of a correctly working clock at 4:18?,120,150,180,210,240,D. 210,"Solution: Consider an axis through the center of the clock with direction, the dir ection of the hands of the clock at 12:00. At 4:18 the angle between the axis and the hour hand is (4 +18/60) (360/12= 1290.The angle between the axis and the minute hand is 18/60 (3600) = 1080.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 21.
22,5,"Jack and Jill collect ladybugs. Jack only collects the o nes with 2 spots, and Jill only collects the ones with 7 spots. Jack has 5 more ladybugs than Jill. The total number of spots found on all of their ladybugs is 100. How many ladybugs do they have in their combined collection?",17,21,23,25,35,D. 25,"Solution: If x is the number of ladybugs that Jack has and y is the number of ladybugs that Jill has, then x − y = 5 and 2x + 7y = 100. Multiplying the first of these equations by 5 and the second by 2 and adding gives 9(x + y) = 225. Hence, x + y = 25.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 22.
23,6,Jerry had an average score of 85 on his first eight quizzes. He had an average score of 81 on his first nine quizzes. What score did he receive on his ninth quiz?,49,51,53,55,57,A. 49,"The sum of Jerry’s first 8 scores is 8 · 85 and the sum of his first 9 scores is 9 · 81, so he received 9 · 81 − 8 · 85 on his 9th quiz. You can do the arithmetic or note that the answer ends in a 9.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 23.
24,6,"The king took a cup filled with water and drank 1/5 of its contents. When the king looked away, the court jester refilled the cup by adding alcohol to the remaining water and then stirred. The king drank 1/4 of this liquid mixture. When the king looked away again, the court jester refilled the cup with more alcohol and stirred. The king drank 1/3 of this liquid mixture. When the king looked away a third time, the court jester refilled the cup with more alcohol. What percent of this final mixture was alcohol?",50%,60%,70%,75%,80%,B. 60%,"Solution: If A is the amount of alcohol present in the mixture at some time and the king drinks a proportion p of the mixture, then the king is drinking a proportion p of each of the mixture’s parts and, in particular, of the alcohol. Hence, the amount of alcohol that the king leaves in the cup is A − Ap = A(1 − p). It follows that the proportion of alcohol left in the cup at the end of the problem is",Cannot Determine,Numerical Ability,Cannot Determine,Yes,/Users/lyndon/reviewnatin/output/pdf/images/cse_math_reviewer_q024_image1.png,Needs Review,Section: Math Reviewer main set; original question no. 24. Embedded PDF image/formula is preserved in image reference.
25,6,The length of the shorter side of a rectangle is 2 units. The length of each diagonal is 4 units. What is the acute angle between the diagonals?,150,22.50,450,600,750,D. 600,"Solution: Suppose the vertices of the rectangle are labeled A, B, C, and D in such a way that AB is the shorter side. Let O be the intersection point of the two diagonals. ThenAOB is equilateral.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 25.
26,6,"In a class of 100 students, there are 50 who play soccer, 45 who play basketball, and 50 who play volleyball. Only 15 of these students play all three sports. Everyone plays at least one of these sports. How many of the students play exactly two of these sports?",15,20,25,30,35,A. 15,"Solution: Let S1 be the number of students who play exactly one of the three sports; S2 – the number of students who play exactly two of the three sports; and let S3 be the number of students who play all three sports. We know that S3 = 15 and S1 + S2 + S3 = 100 (the total number of students). Also in the sum 50+45+50 (soccer players + basketball players + volleyball players), each student who plays exactly one sport is counted once,the ones who play exactly two sports are counted twice, and those who play all three sports are counted three times. Thus, 50 + 45 + 50 = S1 + 2S2 + 3S3. Note that S2 = (S1 + 2S2 + 3S3) − (S1 + S2 + S3) − 2S3 = 15.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 26.
27,7,"Fresh grapes contain 80% water by weight, w hereas dried grapes contain15% water by weight. How many pounds of dried grapes can be obtained from 34 pounds of fresh grapes?",8,9,10,,12,A. 8,"Solution: Suppose we call what’s left from a grape after removing all water “waterless content”. Then 34 pounds of fresh grapes contain 6.8 pounds “waterless content”. Also, x pounds dried grapes contain x−0.15x = 0.85x pounds “waterless” content”. Solving the equation 0.85x = 6.8 we get x = 8.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 27.
28,7,The sum of seven consecutive integers is 980. How many of them are prime?,0,1,2,3,4,C. 2,"Solution: The middle number is 140 and the seven numbers are 137, 138, 139, · · · , 143. Now 138, 140, and 142 are even, 141 is divisible by 3, and 143 - by 11. The remaining numbers 137 and 139 are prime (it is easy to check that they are not divisible by 2,3,5,7 and 11).",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 28.
29,7,"It rained on exactly 7 of the days during Jane's summer holiday trip. On each day that it rained, it rained either in the morning or the afternoon but not both. There were exactly 5 afternoons when it did not rain and exactly 6 mornings when it did not rain. How many days did the trip last?",7,8,9,10,11,C. 9,"Solution: Let M be the number of days it rained in the morning; A - the number of days it rained in the afternoon; and let N be the number of days when it did not rain. We have M + A = 7 (days when it rained); M + N = 5 (afternoons when it did not rain); and A + N = 6 (mornings when it did not rain). Adding the equations we get 2(M + A + N) = 18, M + A + N = 9.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 29.
30,7,Suppose that 25% of all the wise people are nice and half of all the nice people are wise. Suppose further that 25% of all the people are neither wise nor nice. What percent of all the people are both wise and nice?,10%,15%,20%,25%,30%,B. 15%,"Solution: Let k be the number of all the people who are both nice and wise. Then, the number of wise people is 4k and the number of nice people is 2k. The number of people who are either wise or nice or both is 4k + 2k − k = 5k. If the number of all people is x, then x − 0.25x = 5k, so x = 20k/3.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 30.
31,8,A man caught some fish. The 2 heaviest fish had a combined weight which was 25% of the total weight of all the fish. The 5 lightest fish had a combined weight which was 45% of the total weight of all the fish. He put the 2 heaviest fish in the freezer and ate the 5 lightest fish for lunch. His cat took all the remaining fish. How many fish did his cat take?,8,6,4,3,2,D. 3,"Solution: Let W be the total weight of all fish the man caught. The fish taken by the cat had weight 30%W. If the cat took 4 fish or more, then their average weight must have been at most 7.5%W which is less than the average weight of the 5 lightest fish. If the cat took 1 or 2 fish, then their average weight must have been at least 15%W which is more than the average weight of the 2 heaviest fish. Thus, the cat took 3 fish.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 31.
32,8,"Suppose that 10 teams participated in a soccer tournament where each team played exact ly one game with each of the other teams. The winner of each game received 3 points, while the loser received 0 points. In case of a tie, both teams received 1 point. At the end of the tournament, the 10 teams received a total of 130 points. How many games ended in a tie?",1,2,3,4,5,E. 5,"Solution: There were 45 games played in the tournament ( 2/10games). Now, the total number of points awarded in one game is either 3 (if one team wins), or 2 (when the teams tie the game). So, the total number of points received is 3 × 45− (the number of games ended in a tie). Thus, exactly 5 games ended in a tie.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 32.
33,8,Jerry wrote down all the positive integers that have at most 7 digits and contain only the digits 0 and 1. How many times did he write down the digit 1 ?,128,224,288,448 E 512,,D. 448 E 512,"Solution: Jerry wrote down a total of 2 7 − 1 = 127 numbers (0 is missing). Add 0 to the numbers Jerry wrote. We divide the resulting 128 numbers in pairs. If x is one of the numbers Jerry wrote then we put it in pair with 1111111 − x (whose digits are also 0s and 1s). For example 1100101 is paired with 11010. In this way, we divide the numbers into 64 distinct pairs so that each number appears exactly once. Note that there are exactly 7 digits 1 in each pair. So, Jerry wrote the digit 1 exactly 64 × 7 = 448 times.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 33.
34,8,"A group containing boys and girls took a test. If exactly 2/3 of the boys and exactly 3/4 of the girls passed the test, and if an equal number of boys and girls passed the test, then what fraction of the entire group passed the test?",11/16,12/ 17,13/18,14/19,17/23,B. 12/ 17,"Solution: Let b be the number of boys that took the test and g the number of girls. We are given that 2b/3 = 3g/4, so b = 9g/8. So the desired ratio is (2b/3) + (3g/4) = 2 · (3g/4) = 3/2 = 12 b + g (9g/8) + g 17/8 17.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 34.
35,9,How many 5-digit numbers with all digits non-zero and no digit repeated are divisible by 25 ?,360,420,450,480,500,B. 420,"Solution: The 5- digit number must end with 25 or 75 (on the right). The other digits can be arbitrary but must be distinct from each other, the two right -most digits and zero. This leaves 7 · 6 · 5 = 210 choices for the remaining digits. The answer is 2 · 210 = 420.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 35.
36,9,"Each car of a five- car train must be painted a solid color. The only color choices are red, blue, and yellow. If each of these colors must be used forat least one car, then how many ways are there to paint this train?",100,125,150,175,200,C. 150,"Solution: One can paint five cars using 3 colors in 3 5 = 243 ways. Also, one can paint fivecars using only 2 out of 3 colors in 3 .25 = 96 ways (there are 3 ways to pick 2 outof 3 colors). Finally, one can paint five cars using only 1 out of 3 colors in 3.1 5 = 3ways. By the inclusion- exclusion principle, the answer is 243 - 96 + 3 = 150.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 36.
37,9,What is the number of distinct real numbers x which have the property that the median of the five numbers x; 6; 4; 1; 9 is equal to their mean?,0,1,2,3,5,D. 3,"Solution: The median cannot be 1 (there are at least three numbers in the set larger than 1). For similar reasons, the median is not 9. The median could be 6. Then6 = (x+6+4+1+9)/5, so x = 10. Since 6 is the median of the set {1; 4; 6; 9; 10} andthe mean of the set is also 6, the number 6 has the described property. Further, ifthe median is 4, then 4 = (x+6+4+1+9)/5, so x = 0. Again, one checks that x = 0has the desired property. Finally, if the median is x, then x = (x+6+4+1+9)/5,so x = 5, and one checks that x = 5 has the desired property, too.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 37.
38,9,The lengths of two sides of a triangle are 2 and 9. Which of the following could be t he length of the third side?,4,6,8,12,14,C. 8,Solution: Three positive numbers are the lengths of the sides of a triangle if and only if each sum of two of the numbers is greater than the third. The choice 8 is the only one of the choices that satisfies this condition,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 38.
39,10,"If 24 x38 = n x 64, then n =",12,24,27,54,81,E. 81,"Solution: Observing that 64 = 24x34, one can cancel to obtain n = 34 = 81.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 39.
40,10,Which of the following shapes has the largest area?,A circle with radius of length 3,A square with each side of length 5,A rectangle with sides of lengths 3 and 9,"A right triangle with sides of lengths 6, 8, and 10",An equilateral triangle with each side of length 7,A. A circle with radius of length 3,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 40. No solution text clearly extracted for this item.
41,10,Find three consecutive integers such that the product of the first two is 20 less than the product of the last two.,"7, 8, 9","8,9,10","9, 10, 11","10,11,12","6,7,8","C. 9, 10, 11",Solution: x ( x + 1) = ( x + 1 ) ( x + 2 ) – 20 x2 + x = x2 + 3x + 2 – 20 - 2x = - 18 x = 9,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 41.
42,10,The sum of two numbers is 20. Their difference is 6. What are the numbers?,7 and 13,8 and 12,5 and 10,6 and 14,9 and 11,A. 7 and 13,Solution: x + y = 20 x – y = 6 2x = 26 x = 13 y = 7,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 42.
43,10,"The grade six pupils at Bayambang Central School went an outing to the National Museum, accompanied by their parents. There were six times as many children as parents. If 245 people went on this outing, how many were parents?",38,35,42,45,51,B. 35,Solution: P + 6P = 245 7P = 245 P = 35,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 43.
44,11,"The cost of a full – priced ticket on one airline route is P 3, 750 and the cost of a discounted ticket is P 2, 250. On one flight on this rout e there were 167 passengers, producing a total ticket income P 557, 250. How many discounted tickets were sold?",38,27,46,52,29,C. 46,"Solution: Let x the number of persons with full – priced tickets and let y the number of persons with discounted tickets. ( 1 ) x + y = 167 ( 2 ) 3 750 x + 2 250 y = 557 250 From equation 1, we have x = 167 – y By substitution, we have 3 750 ( 167 – y ) + 2 250 y = 557 250 y = 46",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 44.
45,11,"2/3, 1/3, 1/6, 1/12, ______",1/14,1/18,1/ 20,1/24,1/28,D. 1/24,"Solution: Succeeding, x 2",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 45.
46,11,3/5 + 1/4 + 2/3 =?,1 33/60,2 29/ 60,1 13/60,2 17/60,1 11/60,A. 1 33/60,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 46. No solution text clearly extracted for this item.
47,11,Which of the following has least numerical value?,1/3,2/7,3/5,4/9,5/12,B. 2/7,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 47. No solution text clearly extracted for this item.
48,11,4 + 2 ( 3 + 6 ) ÷ 3 – 1 =?,6,7,8,9,10,D. 9,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 48. No solution text clearly extracted for this item.
49,11,1/3 + 2/7 + 1/2 = ?,1 5/42,2 3/22,1 7/27,2 3/19,1 4/11,A. 1 5/42,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 49. No solution text clearly extracted for this item.
50,11,By how much larger is 3 than – 7?,– 10,10,4,– 4,0,B. 10,,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer main set; original question no. 50. No solution text clearly extracted for this item.
51,11,16 + 4 x (7 + 8) - 3 = ________?,117,145,73,65,,C. 73,1. 16 + 4 x (7 + 8) - 3 = ________? = 16 + 4 x (15) - 3 = 16 + 60 - 3 = 16 + 57 = 73 *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 1; original question no. 1.
52,12,(18 + 17) (12 + 9) - (7 x 16) (4 + 2) = ________?,53,63,321,323,,B. 63,2. (18 + 17) (12 + 9) - (7 x 16) (4 + 2) = ________? = (35) (21) - (112) (6) = 735 - 672 = 63 *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 1; original question no. 2.
53,12,"The sum of 73, 2891, 406 and 98 is _______?",3468,3486,3648,4648,,A. 3468,"3. The sum of 73, 2891, 406 and 98 is _______? = 73 + 2891 + 406 + 98 = 3468 *Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 1; original question no. 3.
54,12,Which of the following numbers is divisible by 24 ?,192,268,248,596,,A. 192,"4. Which of the following numbers is divisible by 24 ? 192 ÷ 24 = 8 *Ans. 286 ÷ 24 = 11 remainder 4, 268 not divisible by 24 because it has a remainder when divided by 24.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 1; original question no. 4.
55,12,Which of the following numbers is prime?,57,87,89,91,,C. 89,5. Which of the following numbers is prime? a. 57 = 3 x 19 b. 87 = 3 x 29 c. 89 = 89 x 1 *Ans. d. 91 = 13 x 7,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 1; original question no. 5.
56,13,"27, 499 round to the nearest hundred is _______?","27, 400","27, 500","27, 000","28, 000",,"B. 27, 500","1. 27, 499 round to the nearest hundred is _______? = 27, 499 ---> drop 99 and change it to 00 and add 1 to the next digit which is 4 since 99 is more than 50. Therefore 27,500 is the answer. *Ans.",Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 2; original question no. 1.
57,13,Twenty-four weeks is how many days?,140,168,176,196,,B. 168,2. Twenty-four weeks is how many days? = 24 weeks x 7 days weeks = 24 x 7 days = 168 days *Ans.,Cannot Determine,Numerical Ability,Cannot Determine,No,,Ready for Upload,Section: Math Reviewer supplemental set 2; original question no. 2.
